,Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Skladba_diskografija,Stihovi_diskografija,Aranžman_diskografija,Izvedba_diskografija,Album_1_diskografija,Album_2_diskografija,Url_diskografija,Song_diskografija,Album_3_diskografija,Album_4_diskografija,Album_5_diskografija,Album_6_diskografija,Album_7_diskografija,Album_8_diskografija,Album_9_diskografija,Album_10_diskografija,Album_11_diskografija,Album_12_diskografija,Album_13_diskografija
0,/kSKwa9Q_1_0,Novi Fosili,Novi Fosili,Ako se rastanemo,12486,"Ne govorim s'tobom
i nista nije kao prije
cija to pisma citas
tisina, samo tisina lije

Hej, pogledaj me u oci
sto covjek moze da proguta
ima li snage za jos pet minuta
ili smo stigli do kraja, do kraja puta
 
Ref.
Ako se rastanemo 
onako posteno i sami
sto cemo rjeci susjedima, 
postaru i tvojoj mami

Jer ako se rastanemo
nece se srusiti svijet
docice novi stanari 
u Mose Pijade trispet

Ne govorim s'tobom
drugacija si, nisi ista
izgubili smo nepovratno
djetelinu s'cetri lista

Ref. 2x","https://tekstovi.net/2,302,28948.html",,Ako se rastanemo,If We Part,,"Ne govorim s tobom
i ništa nije kao prije
čja to pisma čitaš?
tišina, samo tišina lije. Hej, pogledaj me u oči
što čovjek može da proguta
ima li snage za još pet minuta
ili smo stigli do kraja, do kraja puta?. [Refren]
Ako se rastanemo
onako pošteno i sami
što ćemo reći susjedima,
poštaru i tvojoj mami. Jer ako se rastanemo
neće se srušiti svijet
doći će novi stanari
u Moše Pijade 35. Ne govorim s tobom
drugačija si, nisi ista
izgubili smo nepovratno
djetelinu s čet'ri lista. [Refren]","I don't speak to you
And nothing is like before
Whose letters are you reading?
Silence, just silence pouring. Hey, look me in the eyes
How much can a man take?
Is there enough strenght left for five more minutes
Or have we come to the end, the end of the road?. [Chorus]
If we part
Like, in a fair way and by ourselves
What are we going to say to the neighbours,
The postman and your mom?. Because if we part
World won't fall apart
New tenants will come
To 35 Moša Pijade Street. I don't talk to you
You're different, you're not the same
We lost irreversibly
The four leaf clover. [Chorus]",https://lyricstranslate.com/en/ako-se-rastanemo-if-we-part.html,['Rajko Dujmić'],['Zrinko Tutić'],['Rajko Dujmić'],['Novi Fosili'],1985 - Tvoje i moje godine,2006 - The platinum collection,https://diskografija.com/pjesma/ako-se-rastanemo-774.htm,Ako se rastanemo,,,,,,,,,,,
1,/kSKwa9Q_1_1,Novi Fosili,Novi Fosili,Bijele suze,568,"Tvoju kucu ruzama
od ljudi ja bih sakrio
i cijeli svijet na rukama
na tvoj bi prag ja donio

I zastali bi satovi
da prodjes bosa isti put
tisina, crni svatovi
tu neces naci miran kut
 
Ref.
Bijele suze padaju na grad
a tebe nema, tko zna s kim si
tko zna gdje si sad
sto ti se sprema

U mraku te vrebaju
neke noci zanosne    
da ti svu
ljubav opet pretvore u vino

I zastali bi satovi
da prodjes bosa isti put
tisina, crni svatovi
tu neces naci miran put

Ref. 2x","https://tekstovi.net/2,302,61957.html",,,,,,,https://lyricstranslate.com/en/language/english-artists,['Rajko Dujmić'],['Faruk Buljubašić Fayo'],"['Rajko Dujmić', 'Fedor Boić']",['Novi Fosili'],1997 - Bijele suze padaju na grad,2006 - The platinum collection,https://diskografija.com/pjesma/bijele-suze-696.htm,Bijele suze,,,,,,,,,,,
2,/kSKwa9Q_1_2,Novi Fosili,Novi Fosili,Bilo gdje da si,10067,"Slusam pjesmu sto pripada nama
kad si ti daleka i sama
kad noci su mi duge
a misli na pragu tuge

I jos uvijek samoce se bojim
tko zna slutis li da postojim
il' vec je oblak u tvojoj zijeni
i sve nase daleko u sjeni
ali znaj
 
Ref. 2x
Bilo gdje da si svjetla ne gasi
ne zatvaraj vrata
slusaj korake sata
kad se kazaljke spoje
s tobom misli su moje

Ref. 2x","https://tekstovi.net/2,302,32623.html",,,,,,,,['Rajko Dujmić'],['Domenika Vanić'],['Rajko Dujmić'],['Novi Fosili'],,,https://diskografija.com/pjesma/bilo-gdje-da-si-775.htm,Bilo gdje da si,,,,,,,,,,,
3,/kSKwa9Q_1_3,Novi Fosili,Novi Fosili,Bilo je prelijepo,24279,"Hladne mokre ulice
svaki korak sakriju
gdje su tvoji poljupci
da me cijelu pokriju

Ja sam tako sama jos
prazno gledam izloge
zasto placem ne pitaj
imam svoje razloge
 
Ref. I
Sve je bilo prelijepo
da bi dugo trajalo
ovo malo ljubavi
skupo nas je stajalo

Sve je bilo prelijepo
da bi dugo trajalo
puno toga bilo je
a nista nije ostalo
nista nije ostalo

Puno ljudi prolazi
nema tvoga pogleda
nitko nije kao ti
sve mi tako izgleda

Prazan stan je bez tebe
cuva tvoje mirise
nece doci, vjeruj mi
srce moje smiri se

Ref. II
Ako nekom puno das
poslije ces se kajati
ne znas kako tesko je
protiv vjetra stajati

Ako nekom puno das
puno ces izgubiti
nekad nije dovoljno 
nekog stvarno ljubiti
nekog stvarno ljubiti

Nekog stvarno voljeti","https://tekstovi.net/2,302,19884.html",,,,,,,,,,,['Novi Fosili'],,,https://diskografija.com/pjesma/bilo-je-prelijepo-699.htm,Bilo je prelijepo,,,,,,,,,,,
4,/kSKwa9Q_1_4,Novi Fosili,Novi Fosili,Bilo mi je prvi put,36305,"Bilo je nebo na tvome celu
u srcu zdjela vruceg mlijeka
bili smo djeca koja se vole
i koja ne znaju sto ih ceka

Bilo je svile u tvome oku
i ne daj nikom da to uzme
bilo je sijeno i karamele
kad su se takle nase usne
 
Ref. 2x
Bilo mi je prvi put
samo jednom
prva zora svice
najljepse su ciste
i nespretne ruke
prve suze vrijede
drugo su price

Bilo je pravo, zrelo voce
u tvojoj ruci zlatne niti
bilo je sve sto sada nemam
sto vise nikad nece biti

Ref. 4x","https://tekstovi.net/2,302,10196.html",,Bilo mi je prvi put,It was my first,Poslije svega (1983),"Bilo je nebo na tvome čelu
u srcu zdjela vrućeg mlijeka
bili smo djeca koja se vole
i koja ne znaju što ih čeka. Bilo je svile u tvome oku
i ne daj nikom da to uzme
bilo je sijeno i karamele
kad su se takle naše usne. Ref. 2x
Bilo mi je prvi put
samo jednom
prva zora sviće
najljepše su čiste
i nespretne ruke
prve suze vrijede
drugo su priče. Bilo je pravo, zrelo voće
u tvojoj ruci zlatne niti
bilo je sve što sada nemam
što više nikad neće biti. Ref. 4x","It was the sky up on your forehead
A bowl of hot milk in the heart
We were children that love each other
And know not what awaits them. It was silk in your eye
And let no one take that away
It was hay and caramel
When our lips touched. [Chorus] 2x
It was my first
Only once
The first dawn breaks
The loveliest are
Pure and clumsy hands
First tears matter
The rest are tales. It was real, ripe fruit
In your hand the golden strings
It was all that I no longer have
All that never again will be. [Chorus] 4x",https://lyricstranslate.com/en/bilo-mi-je-prvi-put-it-was-my-first.html,['Rajko Dujmić'],['Zrinko Tutić'],['Rajko Dujmić'],['Novi Fosili'],1983 - Poslije svega,1998 - Ljubav koja nema kraj,https://diskografija.com/pjesma/bilo-mi-je-prvi-put-680.htm,Bilo mi je prvi put,2005 - Za dobra stara vremena 2005,2006 - The platinum collection,,,,,,,,,
5,/kSKwa9Q_1_5,Novi Fosili,Novi Fosili,Budi uvijek blizu,10791,"Kad prsti se spuste
na umorne zice
i posljednju njeznost
pretvore u zvuke

Ova tiha glazba
sto ti dira lice
to su moje usne
to su moje ruke
(2x)
 
U pjesmi se nadju
i svijetlo i tama
pa nam se minute
k'o godine cine

U tom moru ljudi
ti nas slusas sama
zivjet' cemo dalje
od tvoje topline
(2x)

Ref. 2x
Budi uvijek blizu
kao sto si sada
budi tu gdje letim
budi tu dok padam

Trenutak tisine
gitare su stale
i dok gubim svoju
jedinu slobodu

Budi samo lice
ne dirnuto samo
ali budi ovdje
kad svi drugi odu
(2x)

Ref. 4x","https://tekstovi.net/2,302,32656.html",,Budi uvijek blizu,Always Be Close,Budi uvijek blizu 1981,"Kad prsti se spuste
na umorne žice
i posljednju nježnost
pretvore u zvuke. Ova tiha glazba
što ti dira lice
to su moje usne
to su moje ruke
(2x). U pjesmi se nađu
i svijetlo i tama
pa nam se minute
k'o godine čine. U tom moru ljudi
ti nas slušaš sama
živjet ćemo dalje
od tvoje topline
(2x). Ref. 2x
Budi uvijek blizu
kao što si sada
budi tu gdje letim
budi tu dok padam. Trenutak tišine
gitare su stale
i dok gubim svoju
jedinu slobodu. Budi samo lice
ne dirnuto samo
ali budi ovdje
kad svi drugi odu
(2x). Ref. 4x","When fingers descend
To tired strings
And turn the last tenderness
Into sounds. This quiet music
Touching your face
Those are my lips
Those are my hands
(2x). Inside a song
Light and darkness are found
So minute seem
Like years to us. In that sea of people
You listen to us alone
We'll go on living
On your warmth
(2x). (Chorus x2)
Always be close
As you are now
Be here where I fly
Be here as I'm falling down. The moment of silence
Guitars have stopped
And as I'm losing my
Only freedom. Be just a face
Not touched alone
But be here
When everyone else goes
(2x). (Chorus x4)",https://lyricstranslate.com/en/budi-uvijek-blizu-always-be-close.html,['Rajko Dujmić'],['Drago Britvić'],"['Rajko Dujmić', 'Vladimir Kočiš Zec']",['Novi Fosili'],1981 - Budi uvijek blizu,2009 - Zlatna kolekcija,https://diskografija.com/pjesma/budi-uvijek-blizu-739.htm,Budi uvijek blizu,,,,,,,,,,,
6,/kSKwa9Q_1_6,Novi Fosili,Novi Fosili,"Cujes li me, je l' ti drago",22665,"Duge dane, duge noci
sve jeseni i sve zime
samo tvoje ime zovem
cujes li me, cujes li me

Tebe sanjam ispocetka
radi tebe trazim rime
samo tvoje ime zovem
cujes li me, cujes li me
 
Ref.
Cujes li me, je l' ti drago
sto me mucis, sto te nema
ovdje oluja se strasna sprema
sto me mucis, sto te nema
cujes li me, je l' ti drago

Cujes li me, je l' ti drago
sto mi tvoja ljubav treba
poput sunca, poput neba
sto mi tvoja ljubav treba
cujes li me, je l' ti drago

Nepovratno vrijeme bjezi
pokrit ce me ove plime
dok ja tvoje ime zovem
cujes li me, cujes li me

Ref.","https://tekstovi.net/2,302,15537.html",,"Čuješ li me, jel'ti drago?","Can You Hear Me, Are You Glad?",Hitovi sa singl ploča,"Duge dane, duge noći,
Sve jeseni i sve zime
Samo tvoje ime zovem.
Čuješ li me? Čuješ li me?. Tebe sanjam ispočetka,
Radi tebe tražim rime.
Samo tvoje ime zovem.
Čuješ li me? Čuješ li me?. (Pripjev)
Čuješ li me, je l' ti drago?
Što me mučiš, što te nema?
I: Oluja se strašna sprema.
Što me mučiš, što te nema?
Čuješ li me, je l' ti drago? :I. Nepovratno vrijeme bježi
Pokrit će me ove plime
I: Dok ja tvoje ime zovem
Čuješ li me? Čuješ li me? :I. (Pripjev). Čuješ li me, je l' ti drago
Što mi tvoja ljubav treba?
I: Poput sunca, poput neba
Što mi tvoja ljubav treba
Čuješ li me, je l' ti drago? :I","Long days, long nights,
All autumns and all winters
I only call out your name.
Can you hear me? Can you hear me?. I dream of you from the beginning,
Because of you I look for rhymes.
Your name is the only I call out.
Can you hear me? Can you hear me?. (Chorus)
Can you hear me, are you glad?
Why torture me, why are you gone?
I: A terrible storm is about to come.
Why torture me, why are you gone?
Can you hear me, are you glad? :I. Time irretrievably escapes
I will be covered by these tides.
I: While I call out your name
Can you hear me? Can you hear me? :I. (Chorus). Can you hear me, are you glad
Your love is necessary for me?
I: Like the sun, like the skies
Your love is necessary for me
Can you hear me, are you glad? :I",https://lyricstranslate.com/en/%C4%8Duje%C5%A1-li-me-jelti-drago-can-you-hear-me-are-you-glad.html,['Rajko Dujmić'],['Momčilo Popadić'],['Rajko Dujmić'],['Novi Fosili'],1980 - Split 80,1981 - Hitovi sa singl ploča,https://diskografija.com/pjesma/cujes-li-me-jel-ti-drago-741.htm,"Čuješ li me, jel ti drago",1998 - Ljubav koja nema kraj,2003 - Šankconijer,2006 - The platinum collection,2009 - Zlatna kolekcija,,,,,,,
7,/kSKwa9Q_1_7,Novi Fosili,Novi Fosili,Da te ne volim,36590,"Ref. 2x
Da te ne volim
bilo bi mi lako
bilo bi mi lako
da te ne volim, aha

Tvoj dan je danas
i opet tajno zelim
da te samo malo 
malo manje volim
 
I da nista se ne desi
kad mi okrenes ledja
da te zaboravim lako
i da ne brinem gdje si

Tvoj dan je danas
i opet tajno zelim
da te samo malo
malo manje volim, ja

Ref. 2x

Jer tad tvoje rijeci
ne bi bile vazne
i do moga srca 
ne bi mogle doci

Ref. 4x","https://tekstovi.net/2,302,15538.html",,Da te ne volim,If I Didn't Love You,Da te ne volim 1978,"(Pripjev)
Da te ne volim, bilo bi mi lako!
Bilo bi mi lako, da te ne volim, aha! x2. Tvoj dan je danas i opet tajno želim
Da te samo malo, malo manje volim.
I da ništa se ne desi kad mi okreneš leđa
Da te zaboravim lako i da ne brinem gdje si. (Pred-pripjev)
Tvoj dan je danas i opet tajno želim
Da te samo malo, malo manje volim ja!. (Pripjev) x2. Tvoj dan je danas i opet tajno želim
Da te samo malo, malo manje volim.
Jer tad tvoje riječi ne bi bile važne
I do moga srca ne bi mogle doći.. (Pred-pripjev). (Pripjev) x4","(Chorus)
If I didn't love you, it would be easy for me!
It would be easy for me, if I didn't love you, aha! x2. It's your day today and again I secretly want
If I could love you just a bit, a bit less.
And for nothing to happen when you turn your back to me
For me to forget you easily and not to worry where you are.. (Pre-chorus)
It's your day today and again I secretly want
If I could love you just a bit, a bit less, if I could!. (Chorus) x2. It's your day today and again I secretly want
If I could love you just a bit, a bit less.
Because then your words wouldn't matter
And they couldn't come to my heart.. (Pre-chorus). (Chorus) x4",https://lyricstranslate.com/en/da-te-ne-volim-if-i-didnt-love-you.html,['Rajko Dujmić'],['Dea Volarić'],['Rajko Dujmić'],['Novi Fosili'],1978 - Da te ne volim,1981 - Hitovi sa singl ploča,https://diskografija.com/pjesma/da-te-ne-volim-710.htm,Da te ne volim,1993 - Nedovršena priča - Đurđica Barlović,"1994 - Nedjelja popodne - Marina Tomašević
Aranžman: Vedran Ostojić",1998 - Ljubav koja nema kraj,2003 - Live Zagreb - uživo - 4 asa,"2004 - Nakon svih ovih godina - 4 asa
Aranžman: Rajko Dujmić / Vlado Kalember / Alen Islamović / Jurica Pađen",2005 - Za dobra stara vremena 2005,2006 - The platinum collection,2009 - Zlatna kolekcija,,,
8,/kSKwa9Q_1_8,Novi Fosili,Novi Fosili,Dijete srece,22074,"Ja sam dijete srece
i ne postojim
ne voli me, ne vrijedi
uvijek odlazim

Ja sam dijete srece
nasmijani vrag
uspjeti ti nece
mada si mi drag
 
Ne kuni se, ne placi
ne reci da si moj
svi drugi bit ce jaci
cuvaj ponos svoj

Kocija ce doci
princ ne postoji
i godine ce proci
ostajes mi ti

Nekom se moram vratiti

Ref.
Doci cu
jednom doci cu
ulicom tvojom proci cu
djecak ce biti isti k'o ti
on bit ce samo moj
tvoj i moj


","https://tekstovi.net/2,302,19883.html",,Dijete sreće,Happiness Child,Dijete sreće 1987,"Ja sam dijete sreće
i ne postojim
ne voli me, ne vrijedi
uvijek odlazim. Ja sam dijete sreće
nasmijani vrag
uspjeti ti neće
mada si mi drag. Ne kuni se, ne plači
ne reci da si moj
svi drugi bit će jači
čuvaj ponos svoj. Kočija će doći
princ ne postoji
i godine će proći
ostaješ mi ti. Nekom se moram vratiti. Doći ću
jednom doći ću
ulicom tvojom proći ću
dječak će biti isti k'o ti
on bit će samo moj
tvoj i moj","I'm a happiness child
And I don't exist
Don't love me, it's no good
I always go away. I'm a happiness child
The smiling devil
You won't pull it off
Although you're dear to me. Don't swear on it, don't cry
Don't say you're mine
All the others will be stronger
Keep your pride. Carriage will come
There is no prince
And years will go by
I'm left with you. I have to go back to someone. I will come
I will come once
I'll pass through your street
The boy will be same as you
He will be only mine
Yours and mine",https://lyricstranslate.com/en/dijete-sre%C4%87e-happiness-child.html,['Rajko Dujmić'],['Stevo Cvikić'],['Rajko Dujmić'],['Novi Fosili'],1987 - Dijete sreće,1993 - Najbolje godine,https://diskografija.com/pjesma/dijete-srece-790.htm,Dijete sreće,2006 - The platinum collection,,,,,,,,,,
9,/kSKwa9Q_1_9,Novi Fosili,Novi Fosili,Diridonda,18461,"Mirisno ljeto je bilo
i sol u tvojoj kosi
sjecanje zivo i sad me
u one dane nosi

Mlada si bila i ja sam bio mlad
radosti nasoj se smijesio sav grad
i ovoj pjesmici maloj 
sto pjevali smo tad
 
Ref. 2x
Diri, diri, din, di, diri, din, donda
ukrast cu te, znaj, moja mala bjonda
diri, diri, din, di, diri, din, donda
voljet cu te ja, moja mala bjonda

Zanosno ljeto je bilo
i ljubav medju nama
rado se sjetim i sada
svih onih vedrih dana

Negdje duboko u srcu svom sam ja 
sakrio to sunce iz najljepseg sna
i ovu pjesmicu malu
sto pjevam je i sad

Ref. 4x","https://tekstovi.net/2,302,16872.html",,Diridonda,Diridonda,Da te ne volim,"Mirisno ljeto je bilo
1
i sol u tvojoj kosi
sjećanje živo i sad me
u one dane nosi. Mlada si bila i ja sam bio mlad
radosti našoj se smiješio sav grad
i ovoj pjesmici maloj
što pjevali smo tad. Diri, diri, din, de diri, din, donda
ukrast ću te, znaj, moja mala bjonda
diri, diri, din, de diri, din, donda
voljet ću te ja, moja mala bjonda. Zanosno ljeto je bilo
i ljubav među nama
rado se sjetim i sada
svih onih vedrih dana. Negdje duboko u srcu svom sam ja
sakrio to sunce iz najljepšeg sna
i ovu pjesmicu malu
što pjevam je i sad. Diri, diri, din, de diri, din, donda
ukrast ću te, znaj, moja mala bjonda
diri, diri, din, de diri, din, donda
voljet ću te ja, moja mala bjonda","It was smelling summer
And the salt in your hair
A living memory
Carries me to these days even now. You were young and I was young
The whole city was smiling at our joy
And also at this little song
That we were singing then. Diri, diri, din, de diri, din, donda
I will still you, you should know, my little blondie
Diri, diri, din, de diri, din, donda
I'll love you, my little blondie. It was exciting summer
And the love between us
I'm happy to remind myself
These radiant days even now. Somewhere deep in my heart
I have hidden that sun of the prettiest dream
And also at this little song
That I'm singing even now. Diri, diri, din, de diri, din, donda
I will still you, you should know, my little blondie
Diri, diri, din, de diri, din, donda
I'll love you, my little blondie",https://lyricstranslate.com/en/diridonda-diridonda.html,['Zdenko Runjić'],['Zdenko Runjić'],['Stipica Kalogjera'],['Novi Fosili'],1977 - Split 77,1978 - Da te ne volim,https://diskografija.com/pjesma/diridonda-711.htm,Diridonda,1985 - 25. jubilej - Zlatne pjesme - Najveći uspjesi,1993 - Non stop ples - Sanja Doležal,2006 - The platinum collection,2009 - Zlatna kolekcija,,,,,,,
