,Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Skladba_diskografija,Stihovi_diskografija,Izvedba_diskografija,Url_diskografija,Song_diskografija,Aranžman_diskografija,Album_1_diskografija,Album_2_diskografija,Album_3_diskografija,Album_4_diskografija,Album_5_diskografija,Album_6_diskografija,Album_7_diskografija,Album_8_diskografija,Album_9_diskografija
0,l6V8OOIw_1_0,Magazin,Magazin,Abrakadabra,24160,"Abraka, abraka
abrakadabra

On bi da se ganja poput Petra Pana
s kapetanom Kukom nasred oceana
il' da skita svijetom kao segrt Hlapic
al' za sve mu treba zacarani stapic
 
On bi kao Popaj htio zvakat' spinat
il' k'o Miki Maus tjerat' stalno inat
i da bude Palcic sitan kao grasak
al' za sve mu treba zacarani prasak

Ref.
Abraka, abraka, abrakadabra
abraka, abraka, abrakadabra
magicne rijeci, carobni znaci
jezde kroz mastu djec'ji junaci

Abraka, abraka, abrakadabra
Abraka, abraka, abrakadabra
magicne rijeci, carobni znaci
miruju samo skolski zadaci

On bi kao mnogi vitezovi slavni
zmajeve pretuk'o bio uvijek glavni
i princezi svojoj sluzio do groba
al' za sve mu treba zacarano doba

On bi da je velik poput Velog Joze
i da kao Tarzan dzunglom skakat' moze
i da dijeli pravdu poput Robin Huda
al' za sve mu to treba ona zemlja cuda

Ref.

On bi da je bradat poput Robinzona
il' da plovi poput Piplfoksa Dzona
Guliver da bude Mali princ iz snova
al' za sve mu treba zacaranih slova

On bi da je slavni Dejvi Kroket licno
Pinokio Kekec ili tome slicno
i da masta poput Haklberi Fina
al' za sve mu treba prica iz davnina

Ref. 2x","https://tekstovi.net/2,95,22874.html",,Abrakadabra,Abracadabra,Kokolo (1983),"Abraka, abraka
abrakadabra. On bi da se ganja poput Petra Pana
s kapetanom Kukom nasred oceana
il' da skita svijetom kao segrt Hlapić
al' za sve mu treba začarani stapić. On bi kao Popaj htio žvakat' špinat
il' k'o Miki Maus tjerat' stalno inat
i da bude Palčić sitan kao grašak
al' za sve mu treba začarani prašak. Ref.
Abraka, abraka, abrakadabra
abraka, abraka, abrakadabra
magične riječi, čarobni znači
jezde kroz maštu dječ'ji junaci. Abraka, abraka, abrakadabra
Abraka, abraka, abrakadabra
magične riječi, čarobni znači
miruju samo školski zadaci. On bi kao mnogi vitezovi slavni
zmajeve pretuk'o bio uvijek glavni
i princezi svojoj služio do groba
al' za sve mu treba začarano doba. On bi da je velik poput Velog Jože
i da kao Tarzan džunglom skakat' može
i da dijeli pravdu poput Robin Huda
al' za sve mu to treba ona zemlja čuda. Ref.. On bi da je bradat poput Robinzona
il' da plovi poput Piplfoksa Džona
Guliver da bude Mali princ iz snova
al' za sve mu treba začaranih slova. On bi da je slavni Dejvi Kroket lično
Pinokio Kekec ili tome slično
i da mašta poput Haklberi Fina
al' za sve mu treba priča iz davnina","Abraca, abraca
abracadabra. He would like as Petar Pan chasing
with captain Hook in the middle of the ocean
or wandering around the world like shoemaker Lapitch
but he needs a magic wand for everything. He would like chewing a spinach as Popeye
or making spite like Mickey Mouse
and he would like to be small as a pease like Tom Thumb
but he needs the enchanted powder for everything. Chorus:
Abraca, abraca, abracadabra
abraca, abraca, abracadabra
magic words, magic signs
ride through imagination children´s heroes. Abraca, abraca, abracadabra
abraca, abraca, abracadabra
magic words, magic signs
only school tasks are quiet. He would like many famous knights
beat the dragons and always be the main
and serves his princes to the grave
but he needs magic era for everything. He would like being big like giant Jože
and like Tarzan jumping through the jungle if he could
and sharing justice like Robin Hood
but for everything he needs magic land. Chorus:. He would like to having a beard like Robinson
or sailing like Piplfoks John
Let being a Guliver a Little Prince from dreams
but he needs magic letters for everything. He would be a famous David Crocket himself
Pinokio, Kekec or something similar
and fantazing like Huckleberry Finn
but he needs for everything a Tale of Long Ago",https://lyricstranslate.com/en/abrakadabra-abracadabra.html-1,['Zdenko Runjić'],['Jakša Fiamengo'],['Magazin'],https://diskografija.com/pjesma/abrakadabra-8615.htm,Abrakadabra,,,,,,,,,,
1,l6V8OOIw_1_1,Magazin,Magazin,Ako poludim,77581,"I u dobru i u zlu
ljudi jedva cekaju
da ti zemlju pomaknu
grijeh za srce zataknu

Na daleko cuje se
da si brat od nevolje, nevolje
ali, ali meni si
med i mlijeko ljubavi
 
Ref.
Ako poludim i podjem za tebe
reci ce ljudi sve o meni najgore
jer ne znaju da ti za me bio si
za me bio si jedino jutro ljubavi

Ako poludim i podjem za tebe
jer ne znaju da ti za me bio si
za me bio si jedino jutro ljubavi

Stavi ruku na mene 
da me prodju brige sve
ruka tvoja miluje 
nosi prst od sudbine

Ref.","https://tekstovi.net/2,95,2717.html",,Ako poludim,If I Lose It,Melodije Jadrana 1999,"I u dobru i u zlu
1
ljudi jedva čekaju
da ti zemlju pomaknu
grijeh za srce zataknu. Na daleko čuje se
da si brat od nevolje, nevolje
ali, ali meni si
med i mlijeko ljubavi. Ref.
Ako poludim i pođem za tebe
reći će ljudi sve o meni najgore
jer ne znaju da ti za me bio si
za me bio si jedino jutro ljubavi. Ako poludim i pođem za tebe
jer ne znaju da ti za me bio si
za me bio si jedino jutro ljubavi. Stavi ruku na mene
da me prođu brige sve
ruka tvoja miluje
nosi prst od sudbine","In good or bad
people can't hardly wait
to move the earth under your feet
to attach a sin to your heart. From far away it can be heard
that you're the brother of trouble, of trouble
but to me, to me you're
honey and milk my darling. Chorus:
If I lose it and and become yours
people will say the worst of me
because they don't know that for me
for me you were the only dawn. If I lose it and and become yours
people will say the worst of me
because they don't know that for me
for me you were the only dawn. Place your hand on me
so all my worries go away
your hand is soothing
carrying the finger of destiny",https://lyricstranslate.com/en/ako-poludim-if-i-lose-it.html,['Tonči Huljić'],['Vjekoslava Huljić'],['Magazin'],https://diskografija.com/pjesma/ako-poludim-604.htm,Ako poludim,['Fedor Boić'],1999 - Melodije Jadrana 1999,1999 - Split 1999,2000 - Minus i plus,2000 - Najveći hitovi vol.3,2001 - The best of br. 2,2006 - The platinum collection,,,
2,l6V8OOIw_1_2,Magazin,Magazin,Amadeus,18334,"A Amadeus sladak k'o curica
i svu noc svira da me fascinira
Amadeus radi sto ne treba
i ne zna on, da mene ne dira to

A stan je prazan, sansa stopostotna
da bude blesav makar nek' pokusa
Amadeus radi sto ne treba
i ne zna on da mene ne dira to
ja bih se, ja bih se
 
Ref.
Ja bih se ljubila s njim
ali srece nema tu
kad on voli, voli nju
dosadnu muziku

A Amadeus svira po notama
umjesto da me dira po usnama
i opet radi, radi sto ne treba
i nezna on, da mene ne dira to
ja bih se, ja bih se

Ref.","https://tekstovi.net/2,95,19388.html",,Amadeus,,Magazin (1987),"A Amadeus sladak k'o curica
i svu noć svira da me fascinira
Amadeus radi što ne treba
i ne zna on, da mene ne dira to. A stan je prazan, šansa stopostotna
da bude blesav makar nek' pokuša
Amadeus radi što ne treba
i ne zna on da mene ne dira to
ja bih se, ja bih se. Ref.
Ja bih se ljubila s njim
ali sreće nema tu
kad on voli, voli nju
dosadnu muziku. A Amadeus svira po notama
umjesto da me dira po usnama
i opet radi, radi što ne treba
i ne zna on, da mene ne dira to
ja bih se, ja bih se",,https://lyricstranslate.com/en/magazin-amadeus-lyrics.html,,,['Magazin'],https://diskografija.com/pjesma/amadeus-3401.htm,Amadeus,['Mato Došen'],1987 - Magazin,1990 - Svi najveći hitovi 1983-1990,,,,,,,
3,l6V8OOIw_1_3,Magazin,Magazin,Andjele,44557,"Sto sad stojis, sto me gledas
zar jos mislis da mi trebas
u tom kucnom ogrtacu
kojeg poslje obuc' ja cu
i onako izgubio si sebe
sad ovako, sad ovako
 
Ref. 
E, moj andjele, crni andjele
kako si to nisko pao
krevet moj za njezin dao

Reci andjele, pljuni na sebe
je l' ti bilo bolje sa njom 
il' se ne da mjerit' sa mnom

Reci andjele, gdje je puklo sve
tijelo Boga narav muska
a od covjeka samo ljuska

Ref. 2x","https://tekstovi.net/2,95,23788.html",,,,,,,,,,,,,,,,,,,,,,
4,l6V8OOIw_1_4,Magazin,Magazin,Balkanska ulica,82457,"Ne prolazim tvojom ulicom
gdje setas sa svojom curicom
na te slici slatka je ko toplo pecivo
a ja jos te volim neizrecivo

Ne prolazim nasom precicom
gdje se igras sa mezimicom
jamice joj krase lice kao ljubice
a mene blizu grizu za srce
 
Lijevo, desno, nigdje nikoga
a ja zudim da te poljubim

Ref.
Balkanskom ulicom prolazim
dobar dan tvojima pozelim
tebe ne zelim ni da vidim
jer se opet zaljubim

Sjecas li se ono kad smo se
pratili do ugla Balkanske
trcala sam, trcala sam
da stignem na vlak
a na peronu vec su dali znak

Ako ima Boga zasto me
tjerao da krenem do tebe
neka druga na usta ti usne stavila
a ispod ramena se sakrila

Lijevo, desno, nigdje nikoga
a ja zudim da te poljubim

Ref.","https://tekstovi.net/2,95,3136.html",,Balkanska ulica,The Balkans Street,Dobro jutro (1989),"Ne prolazim tvojom ulicom
1
Gdje šetaš sa svojom curicom
Na te sliči, slatka je ko' toplo pecivo
A ja još te volim neizrecivo. Ne prolazim našom prečicom
Gdje se igraš sa mezimicom
Jamice joj krase lice kao ljubice
A mene blizu grizu za srce. Lijevo, desno, nigdje nikoga
A ja žudim da te poljubim. (Pripjev)
Balkanskom ulicom prolazim
Dobar dan tvojima poželim
Tebe ne želim ni da vidim
Jer se opet zaljubim. Sjećaš li se ono kad smo se
Pratili do ugla Balkanske
Trčala sam, trčala sam
Da stignem na vlak
A na peronu već su dali znak. Ako ima Boga zašto me
Tjerao da krenem do tebe?
Neka druga na usta ti usne stavila
A ispod ramena se sakrila. Lijevo, desno, nigdje nikoga
A ja žudim da te poljubim. (Pripjev)","I don't pass by your street
where you stroll with your girlfriend
she looks like you, she is sweet as a pastry
but my love for you is still unexpressible. I don't pass by on our short cut
where you're playing with your darling
dimples adorn her face like violets
and they're nearly biting my heart. Left, right, no one no where
and I crave to kiss you. I pass by the Balkans street
I wish your friends a good day
I don't even wish to see you
'cause I will fall in love with you again. Do you remember when we were
walking together to the corner of the Balkans street
I ran, I ran
to make it to the train
but they already gave a sign on the platform. If there is a God, why did he
make me come to you
when some other girl put her lips on yours
and hided under your shoulder. Left, right, no one no where
and I crave to kiss you",https://lyricstranslate.com/en/balkanska-ulica-balkans-street.html,['Tonči Huljić'],['Vilma Tolić'],['Magazin'],https://diskografija.com/pjesma/balkanska-ulica-2526.htm,Balkanska ulica,['Mato Došen'],1989 - Dobro jutro,1993 - Najbolje godine,,,,,,,
5,l6V8OOIw_1_5,Magazin,Magazin,Besane noci,33483,"Besane mi noci sve
besane mi zbog tebe
besane mi noci sve
jer ti nisi kraj mene

Ref.
Zivim, a kako, slutis li
ti sto me ostavi
zivim, a ne znam cemu to
kada nismo zajedno
suzo moja malena
mladosti moja ranjena

Besane mi noci sve
besane mi zbog tebe
kad te samog svi ostave
ti se vrati, vrati se

Ref.","https://tekstovi.net/2,95,14598.html",,Besane noći,Sleepless nights,Besane noći,"Besane mi noći sve
1
besane mi zbog tebe
besane mi noći sve
jer ti nisi kraj mene. Ref.
Živim, a kako, slutiš li
ti što me ostavi
živim, a ne znam čemu to
kada nismo zajedno
suzo moja malena
mladosti moja ranjena. Besane mi noći sve
besane mi zbog tebe
kad te samog svi ostave
ti se vrati, vrati se","My nights are all without sleep
they're sleepless because of you
my nights are all without sleep
because you aren't beside me. I'm alive, but how, do you know
you, the one who has left me
I'm alive, but I don't know what for
when we're not together
my smallest tear
of my wounded youth. My nights are all without sleep
they're sleepless because of you
when everyone leaves you all alone
then return, return",https://lyricstranslate.com/en/besane-no%C4%87i-sleepless-nights.html,['Tonči Huljić'],"['Marina Tucaković', 'Nenad Ninčević']",['Magazin'],https://diskografija.com/pjesma/besane-noci-2522.htm,Besane noći,['Mato Došen'],1988 - Besane noći,1990 - Svi najveći hitovi 1983-1990,1993 - Najbolje godine,,,,,,
6,l6V8OOIw_1_6,Magazin,Magazin,Bilo bi super,96358,"Hej, zlatni djecace
da si sa mnom ljubav vodio
na plavoj obali
kad smo ono bili zajedno

Ref.
Bilo bi super, bilo bi super
bilo bi sjajno, beskrajno
mi tako mladi, sami odavno
bilo bi nezaboravno
 
Moja simpatijo
da si moje misli citao
na zlatnoj obali
kad si me za ime pitao

Ref.

Hej, zlatni djecace
da si mi na tren uzvratio
u plavo svitanje
kad si mene kuci pratio

Ref.","https://tekstovi.net/2,95,4184.html",,Bilo bi super,It would be great,Oprosti mala,"Hej, zlatni dječače
da si sa mnom ljubav vodio
na plavoj obali
kad smo ono bili zajedno. Ref.
Bilo bi super, bilo bi super
bilo bi sjajno, beskrajno
mi tako mladi, sami odavno
bilo bi nezaboravno. Moja simpatijo
da si moje misli čitao
na zlatnoj obali
kad si me za ime pitao. Ref.. Hej, zlatni dječače
da si mi na tren uzvratio
u plavo svitanje
kad si mene kući pratio","Hey, golden boy
I wish that you made love with me
on the blue coast
then when we were together. Chorus:
It would be great, it would be great
it would be wonderful, endless
we were so young, alone for a long time
it would be unforgettable. My symphaty
I wish that you were reading my minds
on the golden coast
when you asked me for my name. Chorus:. Hey, golden boy
I wish that you for a moment responded to my love
at blue dawn
when you followed me home",https://lyricstranslate.com/en/bilo-bi-super-it-would-be-great.html-0,['Tonči Huljić'],['Vjekoslava Huljić'],['Magazin'],https://diskografija.com/pjesma/bilo-bi-super-3426.htm,Bilo bi super,['Mato Došen'],1991 - Da mi te zaljubit u mene,2001 - The best of br. 1,"2006 - Oprosti mala - remix - Jelena Rozga
Aranžman: Dalibor Paurić / Vedran Paurić",,,,,,
7,l6V8OOIw_1_7,Magazin,Magazin,Bol,24189,"Od jucer sve mi nije isto
i kidam strane umjesto
da te sacuvam kako najbolje to znam
trudicu se osobno, pamtit' ono posebno

A ti mi gasis svijetlo, dan je
od kog se nadam najmanje
ali vostanice moje srece tope se
idi, pamticu ti sve, al' da je lako, nije, ne
 
Ref.
Nije vrijeme olovno
svi se ljube odavno
samo meni raste bol, bol, bol
samo bol, samo bol u srcu mom

Srce mi je polovno
kazu da je normalno
kad u meni raste bol, bol, bol
samo bol, samo bol u srcu mom","https://tekstovi.net/2,95,17442.html",,Bol,Pain,Tonika 2001,"Od jučer sve mi nije isto
i kidam strane umjesto
da te sačuvam kako najbolje to znam
trudiću se osobno, pamtit' ono posebno. A ti mi gasiš svijetlo, dan je
od kog se nadam najmanje
ali voštanice moje sreće tope se
idi, pamtiću ti sve, al' da je lako, nije, ne. Ref.
Nije vrijeme olovno
svi se ljube odavno
samo meni raste bol, bol, bol
samo bol, samo bol u srcu mom. Srce mi je polovno
kažu da je normalno
kad u meni raste bol, bol, bol
samo bol, samo bol u srcu mom","Since yesterday nothing is the same
and I tear out the pages instead
to preserve you the best way I can
I will do my best, to remember the precious. You turn off the light, it's day
you are the last one I expect that from
but the candles of happiness are melting
go, I will remember everything, but that it's easy it isn't. Chorus:
It's not the time of lead
everybody is kissing for a long time
but only for me pain, pain, pain is growing
only pain, only pain in my heart. My heart is a used one
they say it's normal
when pain, pain, pain grows inside me
only pain, only pain in my heart",https://lyricstranslate.com/en/bol-pain.html,['Tonči Huljić'],['Vjekoslava Huljić'],['Magazin'],https://diskografija.com/pjesma/bol-8918.htm,Bol,['Fedor Boić'],2001 - Tonika 2001,2001 - The best of br. 2,,,,,,,
8,l6V8OOIw_1_8,Magazin,Magazin,Boli me,34578,"Sad pitaj me, pitaj kako mi je
kad prolazis mene i ne vidis

Ref.
Jer boli me kad govore
da moram te drugoj dati, duso
jer boli me, boli, da znas
boli me sto samo tebe ljubim
a ti ne znas to
 
Sad pitaj me, pitaj kako mi je
kad zastanem, tebi se okrenem

Ref.

Sve, mogu sve, samo bez tebe ne
sto nema te sad kad najteze je

Ref.","https://tekstovi.net/2,95,18253.html",,Boli me,It hurts me,,"Sad pitaj me, pitaj kako mi je,
Kad prolaziš mene i ne vidiš.. Jer boli me kad govore
Da moram te drugoj dati, dušo,
Jer boli me, boli, da znaš,
Boli me što samo tebe ljubim a ti ne znaš to.. Sad pitaj me, pitaj kako mi je,
Kad zastanem, tebi se okrenem.. Jer boli me kad govore
Da moram te drugoj dati, dušo,
Jer boli me, boli, da znaš,
Boli me što samo tebe ljubim a ti ne znaš to.. Sve mogu, sve, samo bez tebe ne,
Što nema te sad kad najteže je.. Jer boli me kad govore
Da moram te drugoj dati, dušo,
Jer boli me, boli, da znaš,
Boli me što samo tebe ljubim a ti ne znaš to,
Samo tebe ljubim a ti ne znaš to...","Now ask me, ask me how am I,
When you left me and you don't see.. Because it hurts me when they say
that I have to leave you to someone else, my soul,
Because it hurts me, and you know,
It hurts me because I love only you and you don't know that.. Now ask me, ask me how am I,
When I stop, I turn around you.. Because it hurts me when they say
that I have to leave you to someone else, my soul,
Because it hurts me, and you know,
It hurts me because I love only you and you don't know that.. I can all, all, but not just without you,
Because there isn't you now, when it's harder.. Because it hurts me when they say
that I have to leave you to someone else, my soul,
Because it hurts me, and you know,
It hurts me because I love only you and you don't know that.
I love only you and you don't know that.",https://lyricstranslate.com/en/boli-me-it-hurts-me.html,,,,,,,,,,,,,,,
9,l6V8OOIw_1_9,Magazin,Magazin,Briga me,41114,"Briga me, dragi, briga me
sto te volim jutrom, navecer
danas ko i prekjucer

Briga me, dragi, briga me
sto ja nosim posred srca svog
razglednicu srca tvog
briga me, dragi, briga me
ti donesi osmijeh u kucu
a za drugo lako cu
 
Ref.
Hej, voli me, voli me, voli me
barem upola ko sto tebe volim ja
s ove strane svemira
hej, godine, godine, godine dobre dolaze
dodji i ti srcem svim
da ih s tobom podijelim","https://tekstovi.net/2,95,12496.html",,,,,,,,['Tonči Huljić'],['Vjekoslava Huljić'],['Magazin'],https://diskografija.com/pjesma/briga-me-588.htm,Briga me,['Fedor Boić'],1998 - Da si ti ja,2001 - The best of br. 1,,,,,,,
