Unnamed: 0,Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Skladba_diskografija,Stihovi_diskografija,Aranžman_diskografija,Izvedba_diskografija,Url_diskografija,Song_diskografija,Album_1_diskografija,Album_2_diskografija,Album_3_diskografija,Lyrics_cuspajz,Song_cuspajz,Url_cuspajz
0,4wxdBzAi_1_0,Maja Šuput & EnJoy,Maja Šuput,17 mi je godina,65427,"Salje me nocas nebo po tebe
da me spasis od dosade
ja bih da te vodim u svoj stan
da me malo provozas
oho, oho da te provozam

Sva zadrhtis kada cujes rock'n'roll
rock'n'roll je pola ljubav, pola bol
znoj ti lijepi majicu uz tijelo
ne gledaj me da nam ne bi prisjelo
oho, da ne bi prisjelo
 
Ref.
Sedamnaest mi je godina 
jos se nisam ljubila
sedamnaest ti je godina 
bas bi probala
sedamnaest mi je godina
jos se nisam ljubila 
zar jos treba godina
da bi probala

Sva zadrhtim kada cujem rock'n'roll
rock'n'roll je pola ljubav, pola bol
znoj mi lijepi majicu uz tijelo
ne gledaj me da nam ne bi prisjelo
oho, da ne bi prisjelo

Ref. 2x

Sedamnaest mi je godina 
bas bi probala
sedamnaest ti je godina 
bas bi probala","https://tekstovi.net/2,630,11257.html",,,,,,,,['Hari Varešanović'],['Fahrudin Pecikoza Peco'],['Aleksandar Valenčić'],['Maja Šuput'],https://diskografija.com/pjesma/17-mi-je-godina-10285.htm,17 mi je godina,,,,,,
1,4wxdBzAi_1_1,Maja Šuput & EnJoy,Maja Šuput,Baby,16734,"Tebi bi dala najljepse dane
najljepse godine
a proslo je vrijeme mladosti rane 
kao ljeto kad prestaje

Kad u gradu te sretnem 
ti prodjes kraj mene 
kao da ne postojim 
ma hello il' good bye 
samo da pozdravis
 
Ref.
Baby, ja sam tvoja 
baby, ne mogu bez tebe
disati ni sanjati
Baby, tvoja mala baby
usne traze samo tebe 
da bi te poljubile

A zivot je kratak 
i htjela bi tako u njemu uzivati
s drugim ne mogu 
a sama jos manje to vrijeme potrositi

Sebi samo ja lazem 
ne boli me vise 
a vide se tragovi
a ja bi te htjela barem upoznati

Ref.
","https://tekstovi.net/2,630,8428.html",,,,,,,,"['Marko Tomasović', 'Boris Šuput']","['Marko Tomasović', 'Robert Češljaš']",['Toni Eterović'],"['Maja Šuput', 'Enjoy']",https://diskografija.com/pjesma/baby-engleski-3154.htm,Baby (engleski),,,,,,
2,4wxdBzAi_1_2,Maja Šuput & EnJoy,Maja Šuput,Cista petica,31953,"Dobra jesam, ali nisam kao svetica 
nema veze, ti si, lutko, cista petica

Nekad sam bez veze, ali obicno
osjecam se super, odlicno
osmijehe i srecu svima donijet cu
mene dobri ljudi pokrecu
 
Ref.
Ma kad se podijeli i dobro i zlo
ja sam cura, tako ti je to
imam mana, al' i dobrih strana sto

Dobra jesam, ali nisam kao svetica
nema veze, ti si, lutko, cista petica
mozda jesam malo stroga kao sefica
nema veze ti si nama cista petica

Nekada sam lose, al' u prosjeku
radujem se svakom covjeku
samo nek' se pjeva, neka dobro je
brige kao da ne postoje

Ref.","https://tekstovi.net/2,630,11269.html",,Čista petica,An A+,,"Dobra jesam, ali nisam kao svetica
nema veze, ti si, lutko, čista petica. Nekad sam bez veze, ali obično
osjećam se super, odlično
osmijehe i sreću svima donijet ću
mene dobri ljudi pokreću. Ref.
Ma kad se podijeli i dobro i zlo
ja sam cura, tako ti je to
imam mana, al' i dobrih strana sto. Dobra jesam, ali nisam kao svetica
nema veze, ti si, lutko, čista petica
možda jesam malo stroga kao šefica
nema veze ti si nama čista petica. Nekada sam loše, al' u prosjeku
radujem se svakom čovjeku
samo nek' se pjeva, neka dobro je
brige kao da ne postoje. Ref.","I am good, but not as saint
It doesn't matter, you're an A+, dolly. Sometimes I feel awful, but usually
I feel great, I feel awesome
I'll bring smiles and happiness to evrybody
Good people make me move. Chorus:
Well, when you divide the good and the bad
I'm just a girl, that's the way it goes
I have defects, but also a hundred good sides. I am good, but not as saint
It doesn't matter, you're an A+, dolly
Maybe I am a little strict like a boss
It doesn'+t matter, you're an A+ for us. Sometimes I feel bad, but in average
I look forward to every man
Just let it sing, let it be good
And it feels like worries don't exist. Chorus",https://lyricstranslate.com/en/%C4%8Dista-petica.html,['Denis Dumančić'],"['Denis Dumančić', 'Faruk Buljubašić Fayo']",['Aleksandar Valenčić'],"['Maja Šuput', 'Enjoy']",https://diskografija.com/pjesma/cista-petica-2591.htm,Čista petica,2003 - Čista 5ica - Maja Šuput,2003 - Dora 2003,,"Dobra jesam, ali nisam kao svetica
Nema veze, ti si lutko
Čista petica

Nekad sam bez veze,
Ali obično
Osjećam se super, odlično

Osmjehe i sreću svima donijet ću,
Mene dobri ljudi pokreću

Ma, kad se podjeli i dobro i zlo,
Ja sam cura, tako ti je to,
Imam mana, ali dobrih strana sto

Dobra jesam, ali nisam kao svetica
Nema veze, ti si lutko,
Čista petica
Možda jesam malo stroga, kao šefica,
Ma nema veze, ti si nama
Čista petica

Nekada sam loše
Al' u prosjeku
Radujem se svakom čovjeku

Samo nek' se pjeva, neka dobro je
Brige kao da ne postoje

Nema veze, ja sam vama
Čista petica",Čista petica,https://cuspajz.com//tekstovi-pjesama/pjesma/maja-suput-and-en-joy/cista-petica.html
3,4wxdBzAi_1_3,Maja Šuput & EnJoy,Maja Šuput,Da si tu,13095,"Dolazi novo vrijeme
dolaze novi ljudi
ja necu nista novo
meni je dosta ovo
samo ti kraj mene budi

Kraj mene zivot zuri
ja za njim necu poci
jer zivim i dan danas
u onoj nasoj prici
i cekam kad ces stici
 
Ref. 2x
Da si tu, da si tu
da skupa smo ko ranije
da mi je, da mi je
da bude kao prije
da nas vide nasmijane
isto ko u stare dane 

Vrijeme mi sporo ide
kako da dane skratim
i svoju ludu zelju
svaku noc suzom platim
samo bi da tebe vrati

Ref. 4x
","https://tekstovi.net/2,630,15042.html",,,,,,,https://lyricstranslate.com/en/language/english-artists,['Denis Dumančić'],['Faruk Buljubašić Fayo'],['Aleksandar Valenčić'],['Maja Šuput'],https://diskografija.com/pjesma/da-si-tu-10286.htm,Da si tu,,,,,,
4,4wxdBzAi_1_4,Maja Šuput & EnJoy,Maja Šuput,Da te nisam voljela,13429,"Dosadno mi nocima
uvjek sami mrak i ja
a malo bi se igrala

Nakon srece trpim bol
na zivoj mi rani spava sol
a meni  fali osmjeh tvoj
 
Rijesit cu se otrova tog
pogleda vrazjeg, poljupca tvog
i potrazit nekoga 
vrijednog mog plakanja

Da, da me nisi zaveo
i na grijeh me naveo
ne bi tuzna bila ja
ne, ne, ne, ne

Da, da si mene ljubio
ne bi nista izgubio
ne bi tuzna bila ja 
ne, ne, ne nikada
","https://tekstovi.net/2,630,11270.html",,,,,,,,['Marko Tomasović'],['Maja Šuput'],['Toni Eterović'],"['Maja Šuput', 'Enjoy']",https://diskografija.com/pjesma/da-te-nisam-voljela-1734.htm,Da te nisam voljela,2000 - Split 2000,2001 - Uzmi me,,"Dosadno mi noćima
Uvijek sami mrak i ja
A malo bih se igrala

Nakon sreće trpim bol
Na živoj mi rani spava sol
A meni fali osmijeh tvoj!

Riješit' ću se otrova tog
Pogleda vražjeg, poljupca tvog!
I potražit nekoga-
Vrijednog mog plakanja...

Da, da me nisi zaveo
I na grijeh me naveo-
Ne bi' tužna bila ja
Ne, ne, ne, ne...
Da, da si mene ljubio
Ne bi ništa izgubio
Ne bi' tužna bila ja
Ne, ne, ne, nikada!",Da te nisam voljela,https://cuspajz.com//tekstovi-pjesama/pjesma/maja-suput-and-en-joy/da-te-nisam-voljela.html
5,4wxdBzAi_1_5,Maja Šuput & EnJoy,Maja Šuput,"E, moj blesane",27567,"Spavas do podne, naravi nezgodne
isti kad budis se
al' ipak ja volim te
hej, e, moj blesane

Lutas po gradu, meni za nagradu
das noci besane
al' ipak ja volim te
hej, e, moj blesane
 
Nikada nikom ne dam te
ozivim odmah kad ugledam te
nikom ne dam te, hej

Ref.
Ljubis me na svijetu najbolje
puknut ce svi od ljubomore
ljubis me, pola ih zavidi 
pola se pravi da ne vidi

Ti kada pijes dobro se ubijes
jer nemas granice
bas zato ja volim te
hej, e, moj blesane

Ref. 3x","https://tekstovi.net/2,630,11256.html",,,,,,,,,,,['Maja Šuput'],https://diskografija.com/pjesma/e-moj-blesane-10159.htm,"E, moj blesane",,,,,,
6,4wxdBzAi_1_6,Maja Šuput & EnJoy,Maja Šuput,Evo ima godina (duet Davor Petrovic),10696,"Vidis kako mjesec lopov 
nebom zvijezde
tjera sjajne, luduje
slusaj kako trava raste 
a vjetar nam
zamrsio sudbine
 
Vidis kako mjesec lopov
nebom zvijezde
tjera sjajne, luduje
nebi htjela da sam sama 
daj mi ruku oko
struka da me ugrije

Kao svjetlost dana
i kao srcu hrana
ti mi dodjes, vratis nemire

Ref. 2x
Evo ima godina 
srce si/sam zaledila
ali kad mi dodjes
srcem kad mi prodjes
sve u pjesmu pretvaras

Ref. 4x","https://tekstovi.net/2,630,11252.html",,,,,,,,['M. Serharlić'],['B. Novović'],['Toni Eterović'],"['Maja Šuput', 'Enjoy']",https://diskografija.com/pjesma/evo-ima-godina-1739.htm,Evo ima godina,,,,"Vidiš kako mjesec lopov
Nebom zvijezde tjera sjajne, luduje
Slušaj kako trava raste
A vjetar nam zamrsio sudbine

Vidiš kako mjesec lopov
Nebom zvijezde tjera sjajne, luduje
Ne bih htjela da sam sama
Daj mi ruku oko struka da me ugrije

Kao svjetlo dana
I kao srcu hrana
Ti mi dođeš, vratiš nemire

Evo ima godina
Srce sam zaledila
Alikad mi dođeš, srcem kad mi prođeš
Sve u pjesmu pretvaraš",Evo ima godina,https://cuspajz.com//tekstovi-pjesama/pjesma/maja-suput-and-en-joy/evo-ima-godina.html
7,4wxdBzAi_1_7,Maja Šuput & EnJoy,Maja Šuput,Hello,8972,"Kad kazes da me volis ti lazes ljudima
ja dobro znam, al' srce ne bira
kad cujem nasu pjesmu bol me zarobi
i sjecanje na tebe zaboli

A vrijeme samo ode
moja dusa nema sna
jer ti si moja snaga najveca
 
Ref.
Hello, my boy
hello, I love you so
jer ti si moje dobro i zlo
sunce malo, nebo jedino

Hello, my boy
hello, I love you so
ne zelim suze, sto se mi to
samo tebe, moje maleno

A negdje tiho svira tvoja najdraza pjesma 
sto te na me podsjeca

Ref.","https://tekstovi.net/2,630,8430.html",,,,,,,,['Marko Tomasović'],"['Marko Tomasović', 'Robert Češljaš']",['Toni Eterović'],"['Maja Šuput', 'Enjoy']",https://diskografija.com/pjesma/hello-1732.htm,Hello,2001 - Uzmi me,2001 - Uzmi me,2001 - Dora 2001 - Maja Šuput,"Kad kažeš da me voliš
Ti lažeš ljudima
Ja dobro znam
Al' srce ne bira...

Kad čujem našu pjesmu, bol me zarobi
I sjećanje na tebe zaboli

A vrijeme samo ode
Moja duša nema sna
Jer ti si moja snaga najveća

Hello, my boy
Hello I love you so
Jer ti si moje dobro i zlo
Sunce malo nebo jedino

Hello, my boy
Hello I love you so
Ne želim suze, što će mi to?
Samo tebe, moje maleno!

A negdje tiho svira
Tvoja najdraža
Pjesma što te na me podsjeća",Hello,https://cuspajz.com//tekstovi-pjesama/pjesma/maja-suput-and-en-joy/hello.html
8,4wxdBzAi_1_8,Maja Šuput & EnJoy,Maja Šuput,Jedna noc,57570,"Ona te dira prstima
ona ti sapce pjesmama 
ona je tvoja djevojka 
jedna, jedina

Ona te dira satima
sve tvoje navike vec zna 
i njena kosa mirise 
na tvoja sjecanja 
 
Gleda me preko ramena
kao da misli pogadja 
i ne da nikome 
da dodje do tebe 

Ref.
Jedna noc s tobom da mi je
jedna noc prije nje 
mozda bi onda bio moj

Jedna noc s tobom da mi je
jedna noc prije nje 
mozda bi onda bio moj zauvijek

Ona te dira prstima
ona ti sapce pjesmama 
ona je tvoja djevojka 
jedna, jedina

Gleda me preko ramena
kao da misli pogadja 
i ne da nikome 
da dodje do tebe

Ref. 2x","https://tekstovi.net/2,630,7376.html",,Jedna noć,One night,Čista 5ica,"Ona te dira prstima
Ona ti šapće pjesmama
Ona je tvoja djevojka
Jedna jedina. Ona te dira satima
Sve tvoje navike već zna
I njena kosa miriše
Na tvoja sjećanja. Gleda me preko ramena
Kao da misli pogađa
I ne da nikome
Da dođe do tebe. Jedna noć s tobom da mi je
Jedna noć prije nje
Možda bi onda bio moj
Jedna noć s tobom da mi je
Jedna noć prije nje
Možda bi onda bio moj
Zauvijek!","She touches you with her fingers
She whispers songs to you
She is your girl
The only one, the only one. She touches you for hours
Knows all your habits already
And her hair smells
Of your memories. She looks at me over her shoulder
As if she can guess thoughts
And doesn't allow anyone
To come to you. If I had one night with you
One night before her
Maybe you would be mine
Forever!",https://lyricstranslate.com/en/jedna-no%C4%87-one-night.html,['Marko Tomasović'],['Uršula Tolj'],['Davor Petrović'],['Maja Šuput'],https://diskografija.com/pjesma/jedna-noc-2489.htm,Jedna noć,,,,"Ona te dira prstima
Ona ti šapće pjesmama
Ona je tvoja djevojka
Jedna jedina

Ona te dira satima
Sve tvoje navike već zna
I njena kosa miriše
Na tvoja sjećanja

Gleda me preko ramena
Kao da misli pogađa
I ne da nikome
Da dođe do tebe

Jedna noć s tobom da mi je
Jedna noć prije nje
Možda bi onda bio moj
Jedna noć s tobom da mi je
Jedna noć prije nje
Možda bi onda bio moj
Zauvijek!",Jedna noć,https://cuspajz.com//tekstovi-pjesama/pjesma/maja-suput-and-en-joy/jedna-noc.html
9,4wxdBzAi_1_9,Maja Šuput & EnJoy,Maja Šuput,Jer kad ostarim,11443,"Ja za zivot nemam milosti
i kada legnem ja
ne znam zaspati
jer moj je zivot 
samo kratka prica prolazna
i ja ga zelim zivjet do kraja
 
I zato vodi mene odavde
meni treba festa do zore

Ref. 2x
Jer kad ostarim 
zime bit ce preduge
ljeto krace najkrace
samo pjevaj do zore
jer kad ostarim 
novi ljudi dolaze
uspomene ostace
zato pjevaj do zore

Dok ne osvane

Vodi mene odavde
meni treba festa do zore

Ref.

Dok ne osvane

Ref. 2x

Dok ne osvane
(2x)","https://tekstovi.net/2,630,11255.html",,,,,,,,['Marko Tomasović'],['Marko Tomasović'],['Aleksandar Valenčić'],"['Maja Šuput', 'Enjoy']",https://diskografija.com/pjesma/jer-kad-ostarim-1730.htm,Jer kad ostarim,,,,"Ja za život nemam milosti
I kada legnem, ja ne znam zaspati
Jer moj je život
Samo kratka priča prolazna
I ja ga želim
živjet' do kraja!

I zato:

Vodi mene odavde,
Meni treba fešta do zore!

Jer kad ostarim
Zime bit' će preduge
Ljeto kraće, najkraće
Samo pjevaj do zore!

Jer kad ostarim
Novi ljudi dolaze
Uspomene ostat će
Zato pjevaj do zore
Dok ne osvane,
Dok ne osvane...",Jer kad ostarim,https://cuspajz.com//tekstovi-pjesama/pjesma/maja-suput-and-en-joy/jer-kad-ostarim.html
