,Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Izvedba_diskografija,Album_1_diskografija,Album_2_diskografija,Url_diskografija,Song_diskografija,Skladba_diskografija,Stihovi_diskografija,Aranžman_diskografija,Album_3_diskografija,Album_4_diskografija,Album_5_diskografija
0,rLIJvpNx_1_0,Tony Cetinski,Tony Cetinski,23. Prosinac,385501,"23. Prosinac, 2 sata poslije ponoci
zvoni telefon, poziv iz bolnice
sve mi je bilo jasno, ne

Ref. 
Samo ostaje nada da vrijeme 
sad lijeci sve rane
i da Bog ce mi dati sad snage 
prezivjet' te dane 
 
Sad jos osjecam miris tvog tijela
u nasem krevetu lezi po svud
i neispijena salica kave
stalno podsjeca nemam kud

Nova zora polako sad svice
ali tebi to svejedno je
i nema veze sto pjevaju ptice
jer to gore sad ne cuje se

Ref. 2x 

Ne znam sto sad da radim sa sobom
nosim, neizbrisivi trag
nikad vise tvoj sapat na uhu
otvaram prozor, zagusljiv je zrak

Brzo oblacim kaput na sebe
zurno izlazim na ulicu
bas je dobro sto kisa rominja
to nisu suze na mome licu

Ref. 2x

Jos pamtim sve nase posljednje rijeci
taj cvrsti zavjet, neraskidivi
da podjem s' tobom, ja znam, ne bi htjela
moram se boriti, moram sa tim

Ref. 2x","https://tekstovi.net/2,135,1832.html",G Mineo,23. Prosinac,December 23d,,"(23.prosinac, dva sata poslije ponoći
1
Zvoni telefon. Poziv iz bolnice
Sve mi je bilo jasno.)
Ne!. (Pripjev)
(Samo ostaje nada da vrijeme
sad liječi sve rane i da Bog
će mi dati sad snage preživjet te dane.). Sad još osjećam miris tvog tijela,
u našem krevetu leži po svud
i neispijena šalica kave
stalno podsjeća nemam kud.. Nova zora polako sad sviće,
ali tebi to svejedno je
i nema veze što pjevaju ptice
jer to gore sad ne čuje se.. (Pripjev). Ne znam što sad da radim sa
sobom, nosim neizbrisivi trag,
nikad više tvoj šapat na uhu,
otvaram prozor, zagušljiv je zrak.. Brzo oblačim kaput na sebe,
žurno izlazim na ulicu,
baš je dobro što kiša rominja,
to nisu suze na mome licu.. (Pripjev). Još pamtim sve naše posljednje riječi
Taj čvrsti zavjet, neraskidivi.
Da pođem s tobom, ja znam
Ne bi htjela. Moram se boriti,
Moram sa tim.. (Pripjev)","I can still feel the smell of your body now,
it lies everywhere in our bed
and a cup of coffee yet to be drunk
keeps reminding me I've nowhere to go. A new dawn starts to break
but it's all the same to you
And it's of no importance that the birds are singing
Beacuse it can't be heard up there.... Only the hope of time
healing all wounds remains
And that God will give me the strenght
To survive these days. I don't know what to do with myself
I carry an inerasable trace
Never again will you whisper in my ear
I open the window,the air is stale.... I quickly put on my coat
Hastily going out to street
It's good that the rain is drizzling
Those aren't tears on my face...",https://lyricstranslate.com/en/23-prosinac-december-23d.html,['Tony Cetinski'],1995 - Ljubav i bol,"2011 - The best of - uživo - Tony Cetinski & Zbor OŠ Marije i Line, Umag",https://diskografija.com/pjesma/23-prosinac-4217.htm,23. prosinac,,,,,,
1,rLIJvpNx_1_1,Tony Cetinski,Tony Cetinski,Ako to se zove ljubav,255578,"Opet lutam gradom sam
ne znam da l' je noc il' dan
i bez mira i bez sna
i od svih ostavljen

A ti negdje sjedis s njim
umjetna romantika
svijece, stol i dosada
 
Samo vjetar ledeni
sa mnom hoda kao ti
on bez cilja, ja bez sna
idemo nikuda

Kad vas netko pogleda
sve to dobro izgleda
a ti znas da ne valja

Auto i stan, gradjanski san
a ja sam te volio

Ref.
Nek' te grli, nek' te ljubi
nek' te ljudi vide s njim
ako to se zove ljubav 
onda ja te ne volim

Neka ti daruje najskuplje poklone
al' znaj da to zlato nema sjaj

Nek' te grli, nek' te ljubi
probaj biti sretna s njim
al' to nece biti vatra 
to ce biti samo dim

Meni si bila svijet, njemu si kupljen cvijet
ali znaj da to zlato nema sjaj

Opet lutam gradom sam
ne znam da l' je noc il' dan
i bez mira i bez sna
i od svih ostavljen

A ti negdje sjedis s njim
umjetna romantika
svijece, stol i dosada

Meni si bila svijet, njemu si kupljen cvijet
ali znaj da to zlato nema sjaj

Ref.","https://tekstovi.net/2,135,26900.html",,Ako To Se Zove Ljubav,If that is called love,Ako To Se Zove Ljubav (2008),"Opet lutam gradom sam
1
ne znam da l' je noć il' dan
i bez mira i bez sna
i od svih ostavljen. A ti negdje sjediš s njim
umjetna romantika
svijeće, stol i dosada. Samo vjetar ledeni
sa mnom hoda kao ti
on bez cilja, ja bez sna
idemo nikuda. Kad vas netko pogleda
sve to dobro izgleda
a ti znaš da ne valja. Auto i stan, građanski san
a ja sam te volio. Ref.
Nek' te grli, nek' te ljubi
nek' te ljudi vide s njim
ako to se zove ljubav
onda ja te ne volim. Neka ti daruje najskuplje poklone
al' znaj da to zlato nema sjaj. Nek' te grli, nek' te ljubi
probaj biti sretna s njim
al' to neće biti vatra
to će biti samo dim. Meni si bila svijet, njemu si kupljen cvijet
ali znaj da to zlato nema sjaj. Opet lutam gradom sam
ne znam da l' je noć il' dan
i bez mira i bez sna
i od svih ostavljen. A ti negdje sjediš s njim
umjetna romantika
svijeće, stol i dosada. Meni si bila svijet, njemu si kupljen cvijet
ali znaj da to zlato nema sjaj. Ref.","I'm wandering through the city alone again
I'm not sure if it's night or day
Without peace, without sleep
Abandoned by everyone. And you are sitting somewhere there with him
Artificial romance
Candles, table and boredom. Only the cold wind
Is walking with me like you
Wind goes without an aim, and me without sleep
We're going nowhere. When someone looks at you
All this looks fine
But you are aware that it is wrong. The car and the flat, dream of every citizen
And I have loved you. Chorus:
Let him hug you, let him kiss you
Let the people see you with him
If that is called love
Then I don't love you. Let him give you the most expensive gifts
But you should know, that gold doesn't shine. Let him hug you, let him kiss you
Try to be happy with him
But that won't be fire
That will be only smoke. To me you were whole world, to him you're just purchased flower
But you should know, that gold doesn't shine. I'm wandering through the city alone again
I'm not sure if it's night or day
Without peace, without sleep
Abandoned by everyone. And you are sitting somewhere there with him
Artificial romance
Candles, table and boredom. To me you were whole world, to him you're just purchased flower
But you should know, that gold doesn't shine. Chorus.",https://lyricstranslate.com/en/ako-se-zove-ljubav-if-called-love.html,['Tony Cetinski'],2008 - Ako to se zove ljubav,2011 - The best of,https://diskografija.com/pjesma/ako-to-se-zove-ljubav-13899.htm,Ako to se zove ljubav,['Miro Buljan'],['Nenad Ninčević'],['Miro Buljan'],,,
2,rLIJvpNx_1_2,Tony Cetinski,Tony Cetinski,Andrea,17383,"Love is in the air
pakao njen smjer
gdje si bar da znam
prokleto sam sam

Cujes li, tebe trebam ja
cujes li, moja molitva

Ref.
Andrea, da si barem sada tu
kleknuo bi' ispred tebe
da se nasmjesis, da mi oprostis

Ref. 3x","https://tekstovi.net/2,135,31540.html",,,,,,,,['Tony Cetinski'],1992 - Ljubomora I,1993 - Ljubomora II,https://diskografija.com/pjesma/andrea-12013.htm,Andrea,['Boris Novković'],['Stevo Cvikić'],['Senad Galijašević Senna M.'],,,
3,rLIJvpNx_1_3,Tony Cetinski,Tony Cetinski,Blago onom ko te ima,149907,"Tek sad vidim da te volim
kad su kise pocele
sve je tezi korak dalje
noge su mi umorne

Ja sam jedro u oluji
oko mene valovi
i ko da ovo vrijeme smiri
kad kraj mene nisi ti
 
Ref. 2x
Blago onom ko te ima
ko te ljubi, dok ja lutam nocima
blago onom ko te ljubi
neka bude, bolji covjek nego ja

Sto me ceka iza magle
Sunce ili oblaci
to mi vise nije vazno
kad tu neces biti ti

Ref. 2x","https://tekstovi.net/2,135,1525.html","Inconnu Compositeur Auteur, Miro Buljan, Nenad Ninäeviä",Blago Onom Tko Te Ima,The One Who Has You Is Lucky,,"Tek sad vidim da te volim
1
kad su kiše počele
sve je teži korak dalje
noge su mi umorne. Ja sam jedro u oluji
oko mene valovi
i tko da ovo vrijeme smiri
kad kraj mene nisi ti. Ref.
Blago onom tko te ima
tko te ljubi, dok ja lutam noćima
blago onom tko te ljubi
neka bude, bolji čovjek nego ja. Što me čeka iza magle
sunce ili oblaci
to mi više nije važno
kad tu nećeš biti ti. Ref.","Just now I see that I love you
now, when it started to rain
every step further is harder to take
my legs are tired. I am a sail in the storm
around me are waves
and who will calm this weather down
when you're not next to me. Ref.
Lucky is the man who's with you,
the man who kisses you, while I wander at night
lucky is the man who kisses you
let him be a better man than I am. What awaits me behind the fog
the sun or the clouds
it doesn't matter to me anymore
when you won't be there. Ref.",https://lyricstranslate.com/en/blago-onom-ko-te-ima-one-who-has-you-lucky.html,['Tony Cetinski'],2003 - Hrvatski Radijski Festival 2003,2003 - Hrvatski Radijski Festival 2003 - 20 najboljih,https://diskografija.com/pjesma/blago-onom-tko-te-ima-2719.htm,Blago onom tko te ima,"['Miro Buljan', 'Nenad Ninčević']","['Miro Buljan', 'Nenad Ninčević']","['Toni Cetinski', 'Gojko Tomljanović']","2003 - Karma remixes - remix
Aranžman: Nenad Čirjak Neno DJ / Josip Miani",2004 - A sada...,2011 - The best of
4,rLIJvpNx_1_4,Tony Cetinski,Tony Cetinski,Blizanac,1101,"Godinama na rijec vjerujem ljudima
kazu mi, lijepa si dobra sa ludima
i da pretjeruju naivni vjeruju
ostat cu lud i sam ako ti zatrebam

Neka si bilo sama il' tudja
i takvu te volim, moja najludja
 
Ref.
Sto i jedan tudji dodir
sa srca da se skine okvir
druge otkljucale ne bi 
to sto cuvam samo tebi
sto i jedna se ne stedi
zavoli me, al' ne vrijedi

Nema takvog kroja, jedino si ti 
bila toliko moja, toliko moja

Na srcu udarac patim k'o blizanac
i kad ti ne ide, lose i meni je
godinama na rijec vjerujem ljudima
kazu mi, lijepa si i dobra sa ludima

Ref.

Neka si bilo sama, il' tudja
i takvu te volim, moja najludja

Ref.","https://tekstovi.net/2,135,60399.html","Marko Vojvodic, Aleksandra Milutinovic",Blizanac,Twin,Kao u snu,"Godinama na riječ vjerujem ljudima,
1
Kažu mi lijepa si, dobra sa ludima,
I da pretjeruju, naivni vjeruju
Ostat ću lud i sam, ako ti zatrebam. Neka si bilo sama il' tuđa
I takvu te volim, moja najluđa.... Sto i jedan tuđi dodir, sa srca da se skine okvir
Druga otključala ne bi to, što čuvam samo tebi
Sto i jedna se ne štedi, zavoli me al' ne vrijedi. Nema takvog kroja, jedina si ti
bila toliko moja
Na srcu udarac, patim k'o blizanac
I kad ti ne ide, loše i meni je.... Godinama na riječ vjerujem ljudima,
Kažu mi lijepa si, dobra sa ludima. Neka si bilo sama il' tuđa
I takvu te volim, moja najluđa.... Sto i jedan tuđi dodir, sa srca da se skine okvir
Druga otključala ne bi to, što čuvam samo tebi
Sto i jedna se ne štedi, zavoli me al' ne vrijedi. Nema takvog kroja, jedina si ti
bila toliko moja. Sto i jedan tuđi dodir, sa srca da se skine okvir
Druga otključala ne bi to, što čuvam samo tebi
Sto i jedna se ne štedi, zavoli me al' ne vrijedi
Nema takvog kroja, jedina si ti
bila toliko moja","For years on I've believed to people,
They say to me that you're beautiful, good with crazy ones,
Even if they overstate it, the naive ones still believe
I will stay crazy and alone for you if you need me anytime. No matters if you are alone or you belong to somebody
I still love you for who you are, my the craziest one.... One hundred and one other's touch, to put the frame off the heart
Another one wouldn't be able to unlock it, that what I keep only for you
One hundred and one of them don't spare themselves, they start to love me, but in vain. There is no such shape, just you
were so mine. Hit over a heart, I'm suffering like a twin
And when you don't do well, I feel bad too. ...",https://lyricstranslate.com/en/blizanac-twin.html,,,,,,,,,,,
5,rLIJvpNx_1_5,Tony Cetinski,Tony Cetinski,Bolji svijet,13091,"Kazes, tesko je reci istine
objasnit nekome kako boja umire
u pogledima, u dodirima, nocima

Mislis da je sve tvoje bolnije
da su tuzni stihovi manje suza ubili
al' nije bas sve kako tebi cini se
 
Ref.
Podji sa mnom
pokazat cu ti
 neki bolji svijet
nove igre, nove sne

Dodji sa mnom
i odacu ti tajne najvece
i naci ces mir
u meni ima duse moje

Kazes, tesko je reci istine
objasnit nekome kako boja umire
u pogledima, u dodirima, nocima

Ref.

Ref.","https://tekstovi.net/2,135,44794.html",,,,,,,,,,,,,,,,,,
6,rLIJvpNx_1_6,Tony Cetinski,Tony Cetinski,Budi uz mene,216148,"Nocas, sanjao sam brod na moru
vjetar, vjetar ga je slomio u zoru
jer ti, nisi bila tu
gdje si, drhtao sam kao dijete
dodji, sve mi suze ovog svijeta prijete
jer ja, predugo sam sam
 
Ref.
Budi uz mene
jer ti, samo ti me mozes spasiti
budi uz mene
jer mi, mi bi umrli od ljubavi

Kunem ti se Bogom
dijelio bi' s' tobom
dvije kapi usred pustinje
jer ti si meni sve","https://tekstovi.net/2,135,9539.html",,Budi uz mene,Stay by my side,Budi Uz Mene (2005),"Noćas,
sanjao sam brod na moru
vjetar,
vjetar ga je slomio u zoru,
jer ti nisi bila tu.. Gdje si?
Drhtao sam kao dijete.
Dođi!
Sve mi suze ovog svijeta prijete,
jer ja predugo sam sam.. Budi uz mene,
jer ti, samo ti me možeš spasiti.
Budi uz mene, jer mi, mi bi umrli od ljubavi
kunem ti se Bogom,
dijelio bi s tobom dvije kapi usred pustinje
jer ti si meni sve.. Gdje si?
Drhtao sam kao dijete.
Dođi!
Sve mi suze ovog svijeta prijete,
jer ja predugo sam sam.. Budi uz mene...","Tonight,
I dreamt the boat on the sea
Wind
Wind broke it in the dawn
Because you weren't here. Where are you?
I was shivering like a child
Come!
All the tears of this world are threatening me
Because I've been alone for too long time. Stay by my side
Because you, only you can save me
Stay by my side, because we, we would die of love
I swear to God
I would share with you
Two drops of water in the middle of the desert
Because you are everything to me. Where are you?
I was shivering like a child
Come!
All the tears of this world are threatening me
Because I've been alone for too long time. Stay by my side...",https://lyricstranslate.com/en/budi-uz-mene-stay-my-side.html,['Tony Cetinski'],2004 - Hrvatski Radijski Festival 2004,2004 - Hrvatski Radijski Festival 2004 - 24 najbolja,https://diskografija.com/pjesma/budi-uz-mene-2989.htm,Budi uz mene,"['Miro Buljan', 'Nenad Ninčević']","['Miro Buljan', 'Nenad Ninčević']",['Miro Buljan'],2005 - Budi uz mene,2005 - Porin 2005 nominacije,2011 - The best of
7,rLIJvpNx_1_7,Tony Cetinski,Tony Cetinski,Casanova,38311,"Kisa pada iznad grada
kao suze Bozije
gdje si nocas, s' kim si sada
sa kim cekas proljece

Jos sto puteva do tebe
a ja na barikadama
branim ovo malo srece
sto si mi poklonila
 
Gdje si ti, kad' si tu
gdje si ti, ljubavi
casanova, casanova
(2x)

Neka nocas gore svijece
nasa ljubav umire
kao znamenje na tijelu
nosim tvoje dodire

Jos sto godina samoce
za tebe je premalo
mene tvoje srce nece
ja sam stig'o prerano

Ref.
Gdje si ti, jer sve su ljubavi
gdje si ti, na svijetu nesretne
gdje si ti, i samo prolaze
gdje si tip/kur], kao sunce kroz oblake

Gdje si ti, jer sve su ljubavi
gdje si ti, kao drago kamenje
gdje si ti, tesko se nalaze
gdje si ti, a lako izgube, a lako izgube

Neka nocas gore svijece
nasa ljubav umire
kao znamenje na tijelu
nosim tvoje dodire

Jos sto godina samoce
za tebe je premalo
mene tvoje srce nece
ja sam stig'o prerano

Ref.

A lako izgube, a lako izgube","https://tekstovi.net/2,135,25204.html",,,,,,,,['Tony Cetinski'],,,https://diskografija.com/pjesma/casanova-4219.htm,Casanova,,,,,,
8,rLIJvpNx_1_8,Tony Cetinski,Tony Cetinski,Cekam te,4586,"Zivot, sto je ovaj
 zivot bez tebe
more bez mornara
ponor bez dna

Sreca sada tako 
kratko potraje
al' predugo je
 trazim, predugo
 
I dusa mi je umorna 
od tijela bez tebe
jos uvijek si oaza
 mojih zelja, andjele

Ref.
Cekam te, ozivi me
ni za zivu glavu, ni u snu
ja nikom ne dam na tebe

Cekam te, pronadji me
da udahnemo miris ljubavi
da zelja pamet pobjedi
cekam te

Srce u stopu prati
 svaku misao
uzalud se trudim
 da zavaram trag

Nebo, samo nebo
 moju pricu zna
trazim tvoje medju
 svojim prstima

Ref. 2x","https://tekstovi.net/2,135,59888.html",Amil Lojo,Čekam te,I'm waiting for you,Kao u snu,"Život, što je ovaj život bez tebe
1
More bez mornara,
Ponor bez dna. Sreća, zar da tako kratko potraje?
A predugo je tražim, predugo. I duša mi je umorna od tijela bez tebe,
Još uvijek si oaza mojih želja, anđele. Čekam te,
Oživi me
Ni za živu glavu, ni u snu, ja nikom ne dam na tebe. Čekam te,
Pronađi me
Da udahnemo miris ljubavi,
Da želja pamet pobijedi
Čekam te. Srce u stopu prati svaku misao
Uzalud se trudim,
Da zavaram trag
Nebo, samo nebo moju priču zna, tražim tvoje među svojim prstima. I duša mi je umorna od tijela bez tebe,
Još uvijek si oaza mojih želja, anđele. Čekam te,
Oživi me
Ni za živu glavu, ni u snu, ja nikom ne dam na tebe. Čekam te,
Pronađi me
Da udahnemo miris ljubavi,
Da želja pamet pobijedi
Čekam te","Life, What's this life if it's without you?
Sea without a sailor
An abyss without a bottom. Happiness, why did it last so short?
And I've been searching it for too long, too long. And my soul is tired of my body without you
You are still an oasis of my wishes, my angel. Ref.
I'm waiting for you
Revive me
Not while I'm alive, neither in my dreams, I will not let anybody to harm you (or ""to speak badly about you""). I'm waiting for you
Find me
That we can breathe the scent of love
That desire win over the mind
I'm waiting for you. The heart is following my every thought
I'm trying in vain
To hide a trace
The sky, only the sky knows my story, I'm searching your fingers between mine ones. And my soul is tired of my body without you
You are still an oasis of my wishes, my angel. Ref.",https://lyricstranslate.com/en/%C4%8Dekam-te-im-waiting-you.html-0,,,,,,,,,,,
9,rLIJvpNx_1_9,Tony Cetinski,Tony Cetinski,Covjek od leda,121745,"Jastuci mirisu na noc
s radija cujem poznat glas
dobro jutro svima, kaze on
ali ne znam da l' to vrijedi i za nas
pitanja je sto, ako jos se volimo

Caj prolila si vruc
i bacas na stol kljuc
kazes, neces uc' 
na ova vrata nikad vise
 
Ref.
A ja, a ja, covjek od leda
ni glas, ni rijec onda kad treba
a u sebi kazem stoj
puca kao staklo zivot moj,/zivot moj/

S radija cujem poznat glas
dobro jutro svima, kaze on
ali ne znam da l' to vrijedi i za nas
pitanja je sto, ako jos se volimo

Ref. 4x","https://tekstovi.net/2,135,11727.html",,Čovjek od leda,Man of ice,Budi Uz Mene (2005),"Jastuci mirišu na noć,
1
S radija čujem poznat glas
""Dobro jutro svima"", kaže on,
Ali ne znam dal' to vrijedi i za nas,
Pitanja je sto, ako još se volimo.. Čaj prolila si vruć
I bacaš na stol ključ
Kažeš, nećeš uć
Na ova vrata nikad više. (Refren)
A ja, a ja - čovjek od leda
Ni glas, ni riječ - onda kad treba
A u sebi kažem - stoj
Puca kao staklo - život moj, život moj. S radija čujem poznat glas
""Dobro jutro svima"", kaže on,
Ali ne znam dal' to vrijedi i za nas,
Pitanja je sto, ako još se volimo.. Čaj prolila si vruć
I bacaš na stol ključ
Kažeš, nećeš uć
Na ova vrata nikad više. (Refren)","Pillows smell of the night
I hear familiar voice from the radio
Good morning to everyone, says him
But I don't know if that is worth for us too
There are a hundred questions, if we still love each other. You spilled hot tea
and you are throwing key on the table
you are saying, you won't come trough
this doors never again. Ref.
And I, and I, man of ice
not a voice, not a word then when it's needed
And inside me I say ""stop""
my life is cracking like a glass, my life. I hear familiar voice from the radio
Good morning to everyone, says him
But I don't know if that is worth for us too
There are a hundred questions, if we still love each other. You spilled hot tea
and you are throwing key on the table
you are saying, you won't come trough
this doors never again. And I, and I, man of ice
not a voice, not a word then when it's needed
And inside me I say ""stop""
my life is cracking like a glass, my life. Ref.. And I, and I, man of ice
not a voice, not a word then when it's needed
And inside me I say ""stop""
my life is cracking like a glass. Ref.",https://lyricstranslate.com/en/covjek-od-leda-man-ice.html,['Tony Cetinski'],2005 - Budi uz mene,2006 - Hitomanija 3,https://diskografija.com/pjesma/covjek-od-leda-7661.htm,Čovjek od leda,['Miro Buljan'],['Nenad Ninčević'],['Miro Buljan'],2011 - The best of,,
