,Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Izvedba_diskografija,Url_diskografija,Song_diskografija,Skladba_diskografija,Stihovi_diskografija,Aranžman_diskografija,Album_1_diskografija,Album_2_diskografija,Album_3_diskografija,Album_4_diskografija,Album_5_diskografija,Album_6_diskografija,Album_7_diskografija
0,6QUk9BaE_1_0,Goran Karan,Goran Karan,Ako to je sve,7885,"Ako to je sve, divno bilo je
ako vrijeme je, odlazim miran
ako zoves me preko rijeke te 
idem pred tebe spokojne duse

Ako kraj je tu, cuj jos ovaj put
pjesmu posljednju, molitvu moju 
 
Ref. 2x
Hvala ti za sve, sve sto bilo je 
dobre godine i poljupce njezne 
hvala ti za sve, teske istine
sram i poraze, rane od ljubavi 

Ako to je sve, ne zalim ni tren 
trazio sam te, sad sam ti blizu 
ako volis me, iza zavjese
nek' je zadnja rijec za tebe samo 
za tebe samo 

Ref. 2x","https://tekstovi.net/2,238,47516.html",,Ako to je sve,,,"Ako to je sve,
divno bilo je.
Ako vrijeme je,
odlazim miran.
Ako zoveš me
preko rjeke te,
idem pred Tebe
spokojne duše.. Ako kraj je tu,
čuj još ovaj put,
pjesmu posljednju,
molitvu moju.. Hvala ti za sve,
sve što bilo je,
dobre godine
i poljupce njene.
Havla ti za sve,
teske istine,
sram i poraze,
rane od ljubavi.. Ako to je sve,
ne žalim ni tren,
tražio sam Te,
sad sam ti blizu.. Ako vodiš me
iza zavjese,
nek' je zadnja reč
za Tebe samo.. Hvala ti za sve!",,https://lyricstranslate.com/en/goran-karan-ako-je-sve-lyrics.html,['Goran Karan'],https://diskografija.com/pjesma/ako-to-je-sve-24807.htm,Ako to je sve,,,,,,,,,,
1,6QUk9BaE_1_1,Goran Karan,Goran Karan,Andjele,61077,"S onim tvojim jos te vidjaju, ma lako to
jer moje ti se oci svidjaju i to je to

Jedan osmijeh preko puta
tajni pogled dug i vruc
da smo sami pet minuta
od srca svog dala bi kljuc
 
Ref.
Andjele, reci s kim si nocas spavala
andjele, kom si moje usne davala
andjele, andjele
nista me ne boli ako on te voli vise nego ja

Njegove te oci vrebaju, lako to
jer ti moje usne trebaju i to je to

Jedan osmijeh preko puta
tajni pogled dug i vruc
da smo sami pet minuta
od srca svog dala bi kljuc

Ref.

Malo mi je jedan dan
malo mi je jedna noc
malo mi je cijeli vijek
ja bi zauvijek, ja bi zauvijek

Ref.","https://tekstovi.net/2,238,25921.html",,Andjele,,,"S onim tvojim još te vidjaju, ma lako to
jer moje ti se oči svidjaju i to je to. Jedan osmijeh preko puta
tajni pogled dug i vruć
da smo sami pet minuta
od srca svog dala bi ključ. Ref.
Andjele, reci s kim si noćas spavala
andjele, kom si moje usne davala
andjele, andjele
ništa me ne boli ako on te voli više nego ja. Njegove te oči vrebaju, lako to
jer ti moje usne trebaju i to je to. Jedan osmijeh preko puta
tajni pogled dug i vruć
da smo sami pet minuta
od srca svog dala bi ključ. Ref.. Malo mi je jedan dan
malo mi je jedna noc
malo mi je cijeli vijek
ja bi zauvijek, ja bi zauvijek. Ref.",,https://lyricstranslate.com/en/goran-karan-andjele-lyrics.html,,,,,,,,,,,,,
2,6QUk9BaE_1_2,Goran Karan,Goran Karan,Bas me briga,1016,"Moga´ san vise, moga´ san duze
bilo je jace i pisme i vina
moga´ san lakse, moga´ san brze
moga´ san uzet´ bez da san pita´

Moga´ san vise, moga´ san lakse
al´ boje nisan
ovo je moje, taman, za dvoje
za jubav mira
 
Ref.
I bas me briga ´ko sta misli
sta ce za nas kazat´ svit
di bi stiga´ kad bi slusa´ 
svaku tudju ric

Ma, bas me briga, sta mi fali
to sta iman, traze svi
more i ja, dusa piva
pokraj tebe nista ne fali
nista ne fali

Moga´ san ludje, moga´ san zesce
bilo je puten i drace i cvica
moga´ san tudje, moga´ san cesce
ma, ne bi bila sritna mi prica

Moga´ san ludje, moga´ san tudje
al´ boje nisan
ovo mi nase najboje pase
za jubav mira

Sve sta imamo
lipo, sesno, maleno
srcen gledamo
kad se jubimo

Ref.","https://tekstovi.net/2,238,63581.html",,,,,,,,,,,,,,,,,,,,
3,6QUk9BaE_1_3,Goran Karan,Goran Karan,Bijele zastave,19977,"Vjetar nosi dan, sve mirise na tebe
dug je bio put od sebe do sebe
prosao sam sve, preko vatre, preko sjene
ti si ta za mene

Ref.
Bijele zastave dizem u nebo
bijele zastave od ljubavi
moja dusa je tvoja dusa 
sunce izlazi
 
More govori na tvoja vrata kuca
otvara se krug, cujem glasove srca
a prosao sam sve 
preko vatre, preko sjene
ti si ta za mene

Ref.
Bijele zastave dizem u nebo
bijele zastave od ljubavi
moja dusa je tvoja dusa 
sunce izlazi

Zemlja miruje i dolazi vedrina 
a u ocima oluja i tisina
prosao sam sve, preko vatre, preko sjene
ti si ta za mene","https://tekstovi.net/2,238,9097.html",,,,,,,,['Goran Karan'],https://diskografija.com/pjesma/bijele-zastave-4023.htm,Bijele zastave,['Zrinko Tutić'],['Zrinko Tutić'],['Nenad Šiškov'],2005 - Dora 2005,2005 - Od srca do usana,,,,,
4,6QUk9BaE_1_4,Goran Karan,Goran Karan,Bila pisma (Nasa bila storija) (i prijatelji),551,"Tiho pojte, grdelini
Marjane, laku noc
ja cu cekat' na skalini
rekla je da ce doc'

Ref.
Sveti Duje moj
zvone zvona tvoga grada
ka najlipja serenada
o' jubavi ta balada
 
Sveti Duje moj
zvone zvona o' vincanja
ka najlipja serenada
bila pisma moga Grada

Tiho pojte, grdelini
Splite moj, laku noc
pismon svitle svi djardini
rekla je da ce doc'

Ref.

Sveti Duje moj","https://tekstovi.net/2,238,62243.html",,Bila Pisma,The white song,,"Tiho pojte grdelini
Marjane laku noć
ja ću čekat na skalini
rekla je da će doć. Sveti Duje moj
zvone zvona tvoga grada
ka najlipja serenada
o jubavi ta balada. Sveti Duje moj
zvone zvona o' vinčanja
ka najlipja serenada
bila pisma moga grada. Tiho pojte grdelini
Splite moj laku noć
pismon svitle svi đardini
rekla je da će doć. Sveti Duje moj
zvone zvona toga grada
ka najlipja serenada
o jubavi ta balada. Sveti Duje moj
zvone zvona o' vinčanja
ka najlipja serenada
bila pisma moga grada","Sing silently, goldfinches
Good night Marjan 1
I'll be waiting on the staircase
She said that she'd come.. My Saint Domnius2
The bells of your city are ringing
Like the most beautiful serenade
A ballad about love. My Saint Domnius
The wedding bells are ringing
Like the most beautiful serenade
The white song of my city. Sing silently, goldfinches
Good night, my Split
All the parks are shining with music
She said that she'd come.. My Saint Domnius
The bells of your city are ringing
Like the most beautiful serenade
A ballad about love. My Saint Domnius
The wedding bells are ringing
Like the most beautiful serenade
The white song of my city",https://lyricstranslate.com/en/bila-pisma-white-song.html,,,,,,,,,,,,,
5,6QUk9BaE_1_5,Goran Karan,Goran Karan,Bilo cvice,10464,"Kada Sunce za mnom zadje
ja ti necu reci zbogom
moja jube

Kada lipi dani prodju
ti ne placi, budi stina
moja jube
 
Ref.
Bilo cvice ti posadi
ne daj da mu vitri pusu
cuvaj ga ka moju dusu

Bilo cvice ti posadi
da na Uskrs kad procvita
ja te ljubim s oneg svita

Bilo cvice moja jube

Kada moji po me dodju
ti ne placi, budi stina
moja jube

Ref. 2x","https://tekstovi.net/2,238,20826.html",,,,,,,,['Goran Karan'],https://diskografija.com/pjesma/bilo-cvice-463.htm,Bilo cviće,['Zdenko Runjić'],['Nenad Ninčević'],['Remi Kazinoti'],2000 - Vagabundo,2005 - Zlatna kolekcija,2007 - Da te mogu pismom zvati - Libar IX,,,,
6,6QUk9BaE_1_6,Goran Karan,Goran Karan,Covik tvoj,5099,"Ne pitaj, vidis sve
pamtim i bolje dane
kad si moja bila
 kad si mene tila
jubit cili zivot svoj

Ne pitaj, recu sve
bez tebe cvica nima
rasuja sam zlato
bacija u blato
to sta vridi najvise
 
Ref.
Ruza i kriz od ljubavi
na srcu friz, oprosti mi
covik sam tvoj i samo tvoj
nek cuje Bog iz srca mog
zauvik tvoj
pred svima samo tvoj
ja covik tvoj

Ne pitaj, vrati se
samo se tebi nadam
dusu mi odrisi
suze mi obrisi
vrati meni zivot moj

Ref.","https://tekstovi.net/2,238,41192.html",,,,,,,,['Goran Karan'],https://diskografija.com/pjesma/covik-tvoj-16224.htm,Čovik tvoj,['Goran Karan'],['Goran Karan'],['Nenad Šiškov'],2012 - Split 2012,2013 - Čovik tvoj,,,,,
7,6QUk9BaE_1_7,Goran Karan,Goran Karan,Cvijet medju stijenama,13874,"Otvori srce sirom kao prozore
ne slusaj uvijek sto to ljudi govore
udahni polako
i pusti da nosi te struja

Ja cu te cekat' s druge strane mjeseca
nek' ti se put sa mojim putem presijeca
ucinit' ce ljubav da sve
prodje bez oluja
 
Ref.
Jer ti si ta medju svim zenama
jedina, k'o cvijet medju stijenama
ti si ta i ja te prepoznajem, jedina
ja tebi se predajem

Mnoge su zene
posjetile zivot moj
i ne sjecam se svake
reci grad i broj

I uvijek ce ime mi tvoje
na usnama stati
sad samo pusti nesto staro
razbij muk

Nek nam do srca dodje
dobro poznat zvuk
zaroni u oci, k'o zivot
kroz vene mi prodji

Jer ti si ta medju svim zenama
jedina, k'o cvijet medju stijenama
jer ti si ta i ja te prepoznajem, jedina

Tu ne postoji laz, istina vodu pije
uzmi me bit' cu tvoj kralj
kraljica bila si i prije

Ref.","https://tekstovi.net/2,238,11894.html",,,,,,,,,,,,,,,,,,,,
8,6QUk9BaE_1_8,Goran Karan,Goran Karan,Da me pojubis,18347,"Evo se vuku kasne litnje ure
ja mira niman, krv tilon vrije
ka vitar kliznija bi ti kroz skure
da te probudin ka niko prije

I da ti recen koliko te jubin
svi pusti libri bili bi malo
a da se stisnes tu uz moje grudi
bez jedne rici sve bi se znalo
 
Najliplja medju svim lipima
usne mi svoje daj

Ref.
Da me pojubis, da te pojubin 
pitali bi posto svit 
da me pojubis, da te pojubin 
pivali bi andjeli 

Da me pojubis, da te pojubin 
nima tega ca ti ne bi da 
misec i zvizde ca nebon klize 
sve bi ti skinija 

Od srice cilo srce bi bilo 
kad bi me jubila 

Jo da je malo po' tvoje lancune 
posteja tepla tajne ti skriva 
duse i tila najlipje bokune 
ti imas ono ca meni triba 

Najlipsa medju svim lipima 
usne mi tvoje daj 

Ref. 2x
","https://tekstovi.net/2,238,19604.html",,Da me pojubis,For you to kiss me,,"Evo se vuku kasne litnje ure
ja mira niman, krv tilon vrije
ka vitar kliznija bi ti kroz škure
da te probudin ka niko prije. I da ti rečen koliko te jubin
svi pusti libri bili bi malo
a da se stisneš tu uz moje grudi
bez jedne riči sve bi se znalo. Najlipja među svin lipima
usne mi svoje daj. Da me pojubiš, da te pojubin
pitali bi pošto svit
da me pojubiš, da te pojubin
pivali bi anđeli. Da me pojubiš, da te pojubin
nima tega ča ti ne bi da
misec i zvizde ča nebon klize
sve bi ti skinija
od sriće cilo srce bi bilo
kad bi me jubila. Još da je malo pod tvoje lancune
posteja tepla tajne ti skriva
duše i tila najlipje bokune
ti imaš ono ča meni triba. Najlipša među svin lipima
usne mi tvoje daj. Da me pojubiš, da te pojubin
pitali bi pošto svit
da me pojubiš, da te pojubin
pivali bi anđeli
Lalala .... Da me pojubiš, da te pojubin
pitali bi pošto svit
da me pojubiš, da te pojubin
pivali bi anđeli. Da me pojubiš, da te pojubin
ma nima tega ča ti ne bi da
misec i zvizde ča nebon klize
sve bi ti skinija
od sriće cilo srce bi bilo
kad bi me jubila ...","Late summer hours are passing
i don't have any peace, blood is boiling in my body
like a wind i would slide trough your windows
to wake you up like no one before. If i tell you how much i love you
all the written pappers will not be enough
and if you come in my arms
without any word we would knew all. Most beautiful from the beautifulest
give me your lips. For you to kiss me, and i to kiss you
they would ask how much world costs
for you to kiss me, and i to kiss you
angels would sing. For you to kiss me, and i to kiss you
i would give you my all
the moon and the stars from the sky
i would take it down for you
my heart would be full of happiness
when you will just kiss me. And to go to your sheets
your warm bed hides secrets
from your sould and body
you have what i need. Most beautiful from the beautifulest
give me your lips. For you to kiss me, and i to kiss you
they would ask how much world costs
for you to kiss me, and i to kiss you
angels would sing
lalala..... For you to kiss me, and i to kiss you
they would ask how much world costs
for you to kiss me, and i to kiss you
angels would sing. For you to kiss me, and i to kiss you
i would give you my all
the moon and the stars from the sky
i would take it down for you
my heart would be full of happiness
when you will just kiss me",https://lyricstranslate.com/en/da-me-pojubis-you-kiss-me.html,['Goran Karan'],https://diskografija.com/pjesma/da-me-pojubis-9938.htm,Da me pojubiš,['Goran Karan'],"['Goran Karan', 'Branko Ružić']",['Nenad Šiškov'],2006 - Split 2006,2008 - Dite jubavi,,,,,
9,6QUk9BaE_1_9,Goran Karan,Goran Karan,Da mi se providi,11532,"Da mi se providi da cu te izgubit
skoncao bi tuzan prije nego odes
prije nego pustim drugome te ljubit
prije nego nozem srce mi izbodes

Ref.
Da mi se providi jutro bez tvog jutra
zar bi iceg bilo da mi krv uzmisa
zakopan u tebi ne budem li sutra
nek me 'ladna ploca pokrije i stisa
 
Da mi se providi da mi te ne bude
pustio bi suze da mi te isplacu
dani bez tvog lica neka mi dosude
misto ruzmarina samo ljutu dracu

Ref.","https://tekstovi.net/2,238,19027.html",,,,,,,,['Goran Karan'],https://diskografija.com/pjesma/da-mi-se-providi-2400.htm,Da mi se providi,['Zdenko Runjić'],['Jakša Fiamengo'],['Remi Kazinoti'],1999 - Kao da te ne volim,2005 - Zlatna kolekcija,,,,,
