Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Written-By_discogs,Album_title_discogs,Lyrics By_discogs,Music By_discogs,Album_year_discogs,Written By_discogs,Flute_discogs,Translated By_discogs,Arranged By_discogs,Conductor_discogs,Orchestra_discogs,Adapted By_discogs,Adapted By (Text)_discogs,Translated By [Uncredited]_discogs,Adapted By (Text) [Uncredited]_discogs,Written-By [Original Lyrics/Uncredited]_discogs,Adapted By (Text) [Adapt.]_discogs,Choir_discogs,Backing Vocals_discogs,Lyrics By [A1]_discogs,Lyrics By [A2]_discogs,Lyrics By [A3]_discogs,Lyrics By [A4]_discogs,Lyrics By [A6]_discogs,Lyrics By [A7]_discogs,Music By [A1_discogs,A2_discogs,A3_discogs,A4_discogs,A6_discogs,A7]_discogs,Written-By [A5_discogs,A8]_discogs,Lyrics By [B1_discogs,B2_discogs,B5]_discogs,Lyrics By [B3]_discogs,Lyrics By [B4]_discogs,Lyrics By [B6]_discogs,Lyrics By [B7]_discogs,Music By [B1]_discogs,Music By [B2_discogs,Music By [B3_discogs,B6_discogs,B7]_discogs,Music By [B4]_discogs,Featuring_discogs,Written By [Lyrics]_discogs,Composed By_discogs,Soloist_discogs,Lyrics By [Original German]_discogs,Lyrics By [Original Italian]_discogs,Lyrics By [Original English]_discogs,Performer_discogs,Songwriter_discogs,Album_year_title_discogs,All_albums_discogs
Tereza Kesovija,Tereza Kesovija,Гитара Рима,,Eldo Di Lazzaro,Гитара Рима,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Гитара Рима,nan-Гитара Рима/nan-Мы / Гитара Рима
Tereza Kesovija,Tereza Kesovija,Ауле-Уле,,Ezio Leoni,Гитара Рима,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Гитара Рима,nan-Гитара Рима/nan-Это – Любовь / Ауле-Уле
Tereza Kesovija,Tereza Kesovija,Мы,,Gualtiero Malgoni,Гитара Рима,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Гитара Рима,nan-Гитара Рима/nan-Мы / Гитара Рима
Tereza Kesovija,Tereza Kesovija,Это - Любовь,,Vittorio Mascheroni,Гитара Рима,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Гитара Рима,nan-Гитара Рима
Tereza Kesovija,Tereza Kesovija,Margellina (Serenata A Margellina),,,Margellina / Sjećanje Na Italiju,Mario Kinel,Salvatore Mazzocco,1962.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962.0-Margellina / Sjećanje Na Italiju,1962.0-Margellina / Sjećanje Na Italiju
Tereza Kesovija,Tereza Kesovija,Sjećanje Na Italiju (Souvenir D'Italie),,,Margellina / Sjećanje Na Italiju,Dragutin Britvić,Lelio Luttazzi,1962.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962.0-Margellina / Sjećanje Na Italiju,1962.0-Margellina / Sjećanje Na Italiju
Tereza Kesovija,Tereza Kesovija,Isplači Suze (Piangere Un Po'),,,Kroz plač,,Umberto Prous,1962.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962.0-Kroz plač,1962.0-Kroz plač
Tereza Kesovija,Tereza Kesovija,Ja Znam Da Plačeš (T'ho Vista Piangere),,,Kroz plač,,Arturo Casadei,1962.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962.0-Kroz plač,1962.0-Kroz plač
Tereza Kesovija,Tereza Kesovija,Ne Oplakujem (Je Ne Regrette Rien),,,Kroz plač,,Charles Dumont,1962.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962.0-Kroz plač,1962.0-Kroz plač
Tereza Kesovija,Tereza Kesovija,Pomogni Mi Plakati (Aiutami A Piangere),,,Kroz plač,,Roberto Livraghi,1962.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962.0-Kroz plač,1962.0-Kroz plač
