Unnamed: 0,Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Lyrics_cuspajz,Song_cuspajz,Url_cuspajz,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Album_title_discogs,Album_year_discogs,Music By_discogs,Featuring_discogs,All_albums_discogs
0,ADDMrKZd_1_0,Doris Dragović,Doris Dragović,Anita,3564,"Gledas ga njezno
cijeli svijet je tvoj
sve to sam prosla
jer je jednom bio moj

Znam da si sretna
i ne cujes me
ne, nisam ljubomorna
placem zbog tebe
 
Moram ti reci
budi se iz sna
gledas ga izgubljeno
kao nekad ja

On ne daje nista
a uzima sve
na kraju samo ti
praznina ostaje

Ref. 2x
Anita, nije on tvoj
on ce uvijek biti samo svoj
Anita, svatices sve
Al' ce biti kasno za tebe
i za mene, Anita

Ref. 2x","https://tekstovi.net/2,518,45733.html",,Anita,Anita,Željo moja,"Gledaš ga nježno
1
cijeli svijet je tvoj
sve to sam prošla
jer je jednom bio moj. Znam da si sretna
i ne čuješ me
ne, nisam ljubomorna
plačem zbog tebe. Moram ti reći
budi se iz sna
gledaš ga izgubljeno
kao nekad ja. On ne daje ništa
a uzima sve
na kraju samo ti
praznina ostaje. [Refren]
Anita, nije on tvoj
on će uvijek biti samo svoj
Anita, shvatit ćeš sve
Al' će biti kasno za tebe
i za mene, Anita. [Refren]","You look gently at him
The whole world is yours
I have been there
because once he was mine. I know you are happy
and you do not hear me
No, I am not jealous
I cry for you. I have to tell you
wake up from your dream
You look at him like lost
Like I used to. He doesn't give anything
and takes everything
In the end, you will be
left only with the emptiness. Ref. 2x
Anita, he is not yours,
He will always belong to himself
Anita, you'll understand everything
But it will be late for you
and for me, Anita.. Ref. 2x",https://lyricstranslate.com/en/anita-anita.html-5,,,,Doris Dragović,Anita,,,Željo Moja,,,,nan-Željo Moja/nan-Anita/2019.0-Original Album Collection
1,ADDMrKZd_1_1,Doris Dragović,Doris Dragović,Baklje Ivanjske (feat. Mladen Bodalec),67523,"Ugaslo je nebo
svijetlo oka mog
sva sam za te gorjela
kao baklja Ivanjska

Ispruzene ruke prazne ostale
ispruzene ruke
samo na te cekale, strepile
 
Mislio sam da cu
biti hrabar ja
k'o oluja ponosna
k'o oluja pobjedonosna

I zadrhtao sam sto put'
sto put' zbog tebe
al' izdrzao sam sve
divlje more i ponore zbog tebe

Ref.
I ne pomisli na mene
kad te stignu uspomene
i ne trudi se da znas
gdje i s kim sam sad

Ne raspituj se za mene
sad je neko drugo vrijeme
davno sam za ljubav ja izgorjela
izgorio ja kao baklja Ivanjska

Ispruzene ruke prazne ostale
ispruzene ruke
samo na te cekale, strepile

I zadrhtao sam sto put'
sto put' zbog tebe
al' izadrzao sam sve
divlje more i ponore zbog tebe

Ref. 2x","https://tekstovi.net/2,518,16862.html",,Baklje Ivanjske,Midsummer Day Torches,Baklje Ivanjske,"(Doris)
Ugaslo je nebo, svjetlo oka mog..
Sva sam za te gorjela kao baklja Ivanjska.
Ispružene ruke -prazne ostale...
Ispružene ruke, samo na te čekale, strepile.... (Mladen)
Mislio sam da ću biti hrabar ja
K'o oluja ponosna, k'o oluja pobjedonosna!
I zadrhtao sam sto put'
sto put' zbog tebe,
Al' izdržao sam sve
divlje more i ponore, zbog tebe.... (Pripjev)
I ne pomisli na mene
Kad te stignu uspomene...
I ne trudi se da znaš
Gdje i s kim sam sad.
Ne raspituj se za mene,
Sad je neko drugo vrijeme,
Davno sam za ljubav ja izgorjela/izgorio ja
Kao baklja Ivanjska!. (Doris)
Ispružene ruke -prazne ostale...
Ispružene ruke, samo na te čekale, strepile.... (Mladen)
I zadrhtao sam sto put'
sto put' zbog tebe,
Al' izdržao sam sve
divlje more i ponore, zbog tebe.... (Pripjev x2)","(Doris)
The sky extinguished, the light of my eye...
I wholly burned for you as a Midsummer Day torch.
Hands reaching out - they stayed empty...
Hands reaching out, waited only for you, dreaded.... (Mladen)
I thought I'll be brave
Like a proud storm, like a winning storm!
And I trembled a hundred times,
A hundred times because of you,
But I went through it all,
Wild seas and abysses, because of you.... (Chorus)
Don't even think of me
When the memories catch up with you...
Don't even try to know
Where and whom with I am now.
Don't ask around about me,
It's a different time now,
It was long time ago when I burned down for love
Like a Midsummer Day torch!. (Doris)
Hands reaching out - they stayed empty...
Hands reaching out, waited only for you, dreaded.... (Mladen)
And I trembled a hundred times,
A hundred times because of you,
But I went through it all,
Wild seas and abysses, because of you.... (Chorus x2)",https://lyricstranslate.com/en/baklje-ivanjske-midsummer-day-torches.html,"Ugaslo je nebo svjetlo oka mog
sva sam za te gorjela kao baklja ivanjska
ispruzene ruke prazne ostale
ispruzene ruke samo na te cekale, strijepile
mislio sam da cu biti hrabar ja
k'o oluja ponosna k'o oluja pobjedonosna
i zadhtao sam stoput, stoput zbog tebe
al' izadrzao sam sve
divlje more i ponore
zbog tebe...

i ne pomisli na mene kad te stignu uspomene
i ne trudi se da znas gde i s kim sam sad
ne raspituj se za mene sad je neko drugo vrijeme
davno sam za ljubav ja izgorjela (izgorio)
kao baklja ivanjska",Baklje Ivanjske (with Mladen Bodalec),https://cuspajz.com//tekstovi-pjesama/pjesma/doris-dragovic/baklje-ivanjske-with-mladen-bodalec.html,Doris Dragović,Baklje Ivanjske,4:14,,Baklje Ivanjske,,,,nan-Baklje Ivanjske/nan-Rođendan U Zagrebu/2002.0-Emocije/2007.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/2014.0-Koncert U Lisinskom/2014.0-The Best Of Collection/2016.0-Live Spaladium Arena/2019.0-Original Album Collection/2019.0-Original Album Collection
2,ADDMrKZd_1_2,Doris Dragović,Doris Dragović,Bozic bez tebe,30613,"Ponoc je, u mojoj maloj sobi
nocas hladno je
ponoc je, u mojoj dusi ova bol
ne prestaje

Ref.
Bozic je i cijeli svijet se
nocas Kristu raduje
bozic je, bozic bez tebe
bozic je i svatko svoje
drage nocas daruje
bozic je, bozic bez tebe
o, Boze moj, kako mi nedostaje

Ponoc je, i vec se cuju negdje
zvona daleka
ponoc je, i samo topla suza
meni nazdravlja

Ref.

Bozic je i cijeli svijet se nocas
Kristu raduje
bozic je, bozic bez tebe
bozic je i svatko svoje
drage nocas daruje
bozic je, bozic bez tebe","https://tekstovi.net/2,518,20430.html",,Božić bez tebe,Christmas without you,Gdje je srce tu je dom,"Ponoć je, u mojoj maloj sobi noćas hladno je
Ponoć je, u mojoj duši ova bol ne prestaje. Božić je i cijeli svijet se noćas Kristu raduje
Božić je, Božić bez tebe
Božić je i svatko svoje drage noćas daruje
Božić je, Božić bez tebe
O, Bože moj, kako mi nedostaje
O, Bože moj, kako mi nedostaje. Ponoć je, i već se čuju negdje zvona daleka
Ponoć je, i samo topla suza meni nazdravlja. Božić je i cijeli svijet se noćas Kristu raduje
Božić je, Božić bez tebe
Božić je i svatko svoje drage noćas daruje
Božić je, Božić bez tebe
O, Bože moj, kako mi nedostaje
O, Bože moj, kako mi nedostaje","It's midnight and it's so cold in my small room
It's midnight, and this pain in my soul never ends. It's Christmas, and whole world is looking forward to Christ tonight
It's Christmas, Christmas without you
It's Christmas and everyone is giving presents to their beloved ones
It's Christmas, Christmas without you
Oh my God, how I miss him
Oh my God, how I miss him. It's midnight and I already hear the distant bells from somewhere
It's midnight and only one warm tear toasts for me. It's Christmas, and whole world is looking forward to Christ tonight
It's Christmas, Christmas without you
It's Christmas and everyone is giving presents to their beloved ones
It's Christmas, Christmas without you
Oh my God, how I miss him
Oh my God, how I miss him",https://lyricstranslate.com/en/bo%C5%BEi%C4%87-bez-tebe-christmas-without-you.html,,,,Doris Dragović,Božić Bez Tebe,4:25,Zdenko Runjić,Ispuni Mi Zadnju Želju,,Zdenko Runjić,,nan-Ispuni Mi Zadnju Želju/2019.0-Original Album Collection
3,ADDMrKZd_1_3,Doris Dragović,Doris Dragović,Brod za nabolje,2435,"Sve mi rici tiho tonu
u vodu ladnu, duboku
di ponos moj 
vec dugo vodi povorku

Kasno razum dize ruku
na glupost vec rasplamsalu
i moji dvori prazni ostaju
 
Ref.
Nisi zna ginit za mene
nisi zna zivit udvoje
pa je mrak na sve sto moje je
i pobiga je brod, brod za nabolje

Nikad nisu ka i tvoje
tudje oci mene gledale
i planine za taj pogled
bi se spustile

Al' lipost nekad sklopi oci
kad dusa vrata otvori
i ljubav samo odleti

Ref. 2x","https://tekstovi.net/2,518,59884.html",,Brod za nabolje,The Ship Traveling to a Better Place,,"Sve mi riči tiho tonu
U vodu ladnu, duboku,
Di ponos moj već dugo vodi povorku...
Kasno razum diže ruku
Na glupost već rasplamsalu
I moji dvori prazni ostaju.... Nisi zna ginit za mene,
Nisi zna živit udvoje...
Pa je mrak na sve šta moje je
I pobiga je brod,
Brod za nabolje.... Nikad nisu ka i tvoje
Tuđe oči mene gledale
I planine za taj pogled bi se spustile...
Al' lipost nekad sklopi oči
Kad duša vrata otvori
I ljubav samo odleti...","All my words quietly sink
Into the cold, deep water
Where my pride is leading a procession for a long time now
Reason raises it's hand too late
When it comes to an already burning stupidity
And my quarters remain empty.... You didn't know how to give life for me,
You didn't know how to live as a couple..
Darkness fell over everything belonging to me
And the ship got away,
The ship traveling to a better place.... Stranger's eyes never looked at me
Like yours did
Mountains would go down for such a glance...
But beauty sometimes closes its eyes
When the soul opens its doors
And love just flies away...",https://lyricstranslate.com/en/brod-za-nabolje-ship-traveling-better-place.html,,,,Doris Dragović,Brod Za Nabolje,3:54,Ivan Huljić,Brod Za Nabolje,2019.0,,,2019.0-Brod Za Nabolje
4,ADDMrKZd_1_4,Doris Dragović,Doris Dragović,Budi se dan,16143,"Budi se dan, sunce izlazi
a dusa mi mir ne nalazi
na jastuk mi tuga dolazi
nije san, odlazis mi ti
jedina ljubavi

Budi se dan, sunce izlazi
u grudima bol ne prolazi
sto razloga da ti ne oprostim
al' ne mogu da srce prevarim
da te zaboravim
 
Ref.
Placem ja tiho, tiho places ti
moramo, moramo se rastati
zakuni se, zadnjih puta poljubi me
sve si moje ti, nemoj plakati 
jedina ljubavi","https://tekstovi.net/2,518,9878.html",,Budi se dan,The day is awakening,Budi se dan,"Budi se dan, sunce izlazi
1
a duša mi mir ne nalazi
na jastuk mi tuga dolazi
nije san, odlaziš mi ti
jedina ljubavi. Budi se dan, sunce izlazi
u grudima bol ne prolazi
sto razloga da ti ne oprostim
al' ne mogu da srce prevarim
da te zaboravim. [Refren]
Plačem ja tiho, tiho plačeš ti
moramo, moramo se rastati
zakuni se, zadnjih puta poljubi me
sve si moje ti, nemoj plakati
jedina ljubavi","The day is awakening, the sun is coming out
but my soul can't find peace
sadness is coming onto my pillow
it's not a dream, you're leaving me
my only love. The day is awakening, the sun is coming out
the pain in my chest won't go away
there are 100 reasons why not to forgive you
but I can't deceive my heart
and forget you as well. Chorus
I'm quietly crying, you're quietly crying
we have to, we have to break up
swear and kiss me for the last time
you're all mine, don't cry
my only love",https://lyricstranslate.com/en/budi-se-dan-day-awakening.html,"Budi se dan
sunce izlazi
a dusa mi mir ne nalazi
na jastuk mi tuga dolazi
nije san odlazis mi ti
jedina ljubavi
budi se dan
sunce izlazi
u grudima bol ne prolazi
sto razloga da ti ne oprostim
al' ne mogu da srce prevarim
da te zaboravim

placem ja tiho tiho places ti
moramo moramo se rastati
zakuni se zadnji puta poljubi me
sve si moje ti nemoj plakati
jedina ljubavi

budi se dan
sunce izlazi
a dusa mi mir ne nalazi
na jastuk mi tuga dolazi
nije san odlazis mi ti
jedina ljubavi
budi se dan sunce izlazi
u grudima bol ne proazi
sto razloga da ti ne oprostim
al' ne mogu da srce prevarim
jedina ljubavi

sve si moje ti
nemoj plakati
jedina ljubavi",Budi se dan,https://cuspajz.com//tekstovi-pjesama/pjesma/doris-dragovic/budi-se-dan.html,Doris Dragović,Budi Se Dan,,Marina Tucaković,Budi Se Dan,,Zrinko Tutić,,nan-Budi Se Dan/1990.0-Budi Se Dan/2019.0-Original Album Collection/2019.0-Original Album Collection
5,ADDMrKZd_1_5,Doris Dragović,Doris Dragović,Da si tu,34583,"Nocas sam ti kao srna gonjena
kao rijeka koja tece nikuda
nocas trebam tebe da me povedes
kroz san, kroz dan

Zadnja godina ko ruza uvela
bezbroj trnja al' i cvijeta slomljena
s tvojim likom sto me prati posvuda
kroz san, kroz dan
 
Miris tvoj, jos i danas osjecam
kada nebo proplace 
i zemlja je mokra
rukama preko prazne postelje
trazim dio srece sto si odnio

Ref.
Da si tu
pa da pjesmom se budim
snene oci ti ljubim
i na grudi te privijem

Da si tu
osmjeh da mi se vrati
pa da poletim ja
kao ptica slobodna
ka zagrljaju tvom
da si tu ","https://tekstovi.net/2,518,5991.html",,Da si tu,If You Had Been Here,,"Noćas sam ti kao srna gonjena
kao rijeka koja teče nikuda
noćas trebam tebe da me povedeš
kroz san, kroz dan. Zadnja godina ko ruža uvela
bezbroj trnja, al' i cvijeta slomljena
s tvojim likom što me prati posvuda
kroz san, kroz dan. Miris tvoj još i danas osjećam
kada nebo proplače
i zemlja je mokra
rukama preko prazne postelje
tražim dio sreće što si odnio. [Refren]
Da si tu
pa da pjesmom se budim
snene oči ti ljubim
i na grudi te privijem. Da si tu
osmijeh da mi se vrati
pa da poletim ja
kao ptica slobodna
ka zagrljaju tvom
da si tu","Tonight I feel like hunted doe
Like a river that flows to nowhere
Tonight I need you to take me
through the dream, through the day. The last year is like a withered rose
so many thorns and with the broken flower
With the face of yours that follows me everywhere
throughout the dream, throughout the day. I feel your scent even today
when the sky burst into the tears
and the soil is wet
I look for the part of happiness that you took away
with my hands over the empty bed. (Ref)
If you had been here
so I could awake by the song
to kiss your dreamy eyes
and to hold you in my arms. If you had been here
to return the smile on my face
and to make me fly
like a free bird
toward your arms
If you had been here",https://lyricstranslate.com/en/da-si-tu-if-you-had-been-here.html,"Noćas sam ti kao srna gonjena
Kao rijeka koja teče nikuda
Noćas trebam tebe da me povedeš
Kroz san, kroz dan
Zadnja godina ko ruža uvela
Bezbroj trnja al' i cvijeta slomljena
S tvojim likom što me prati posvuda
Kroz san, kroz dan

Miris tvoj još i danas osjećam
Kada nebo proplače i zemlja je mokra
Rukama preko prazne postelje
Tražim dio sreće što si odnio

Da si tu
Pa da pjesmom se budim
Snene oči ti ljubim
I na grudi te privijem
Da si tu
Osmijeh da mi se vrati
Pa da poletim ja
Kao ptica slobodna
Ka zagrljaju tvom

Da si tu",Da si tu,https://cuspajz.com//tekstovi-pjesama/pjesma/doris-dragovic/da-si-tu.html,Doris Dragović,Da Si Tu,3:58,Petar Grašo,Baklje Ivanjske,,Petar Grašo,,nan-Baklje Ivanjske/nan-Rođendan U Zagrebu/nan-20 Godina S Ljubavlju/2007.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/2014.0-Koncert U Lisinskom/2014.0-The Best Of Collection/2019.0-Original Album Collection
6,ADDMrKZd_1_6,Doris Dragović,Doris Dragović,Dajem ti srce,3170,"Pjevat' cu ti pjesmu, zemljo moja
ova ce ti pjesma reci sve
rodila sam tebi sina isto k'o sto od davnina
radjale su majke za tebe

Reci cu mu jednom kad poraste
to je tvoja zemlja i tvoj dom
modro more, maslinici, zlatno klasje u ravnici
bit' ce uvijek tu u oku tvom
 
Ref.
Dajem ti srce, zemljo moja
i bit' cu s tobom u dobru i u zlu
i nema sile da mi te uzme
ja bit' cu s tobom, ostat' cu tu

Dajem ti zivot, zemljo moja
i bit' cu s tobom u dobru i u zlu
podijelit' s tobom srecu i tugu
Bog neka cuva moju Hrvatsku

Usne moje krunicu dok mole
nasi stari odlaze na put
dok sa crkve zvona zvone, igraju se djeca nova
sto za nama ostati ce tu

Ref.","https://tekstovi.net/2,518,59377.html",,Dajem ti srce,I give you my heart,Dajem ti srce,"Pjevat ću ti pjesmu
zemljo moja
Ova će ti pjesma reći sve. Rodila sam tebi sina
isto ko što od davnina
rađale su majke za tebe. Reći ću mu jednom kad poraste
To je tvoja zemlja i tvoj dom
Modro more, maslinici
zlatno klasje u ravnici
bit će uvijek tu u oku tvom. Dajem ti srce, zemljo moja
i bit ću s tobom
u dobru i u zlu
i nema sile da mi te uzme
Ja bit ću s tobom, ostat ću tu. Dajem ti život, zemljo moja
i bit ću s tobom
u dobru i u zlu
Podijelit s tobom sreću i tugu
Bog neka čuva moju Hrvatsku. Usne moje krunicu dok mole
naši stari odlaze na put
Dok sa crkve zvona zvone
igraju se djeca nova
što za nama ostati će tu.... Dajem ti srce...","I'll sing you a song
Oh, my land
This song will tell you all. I bore you a son
As since the times of old
The mothers have born for you. I will tell him once he grows
This is your land and your home
Blue sea and olive groves
Golden wheat in the lowlands
Will be always there for you to behold. I give you my heart, oh, my land
And I will be with you
Through the good and bad
And there's no force to take you away from me
I will be with you, I will stay here. I give you my life, oh, my land
And I will be with you
Through the good and bad
Share with you the joy and sorrow
May God protect my Croatia. While my lips invoke the rosary
Our old ones leave on their journey
And while the bells ring from the church towers
There play new children
That will remain here after us. I give you my heart...",https://lyricstranslate.com/en/dajem-ti-srce-i-give-you-my-heart.html-0,"Pjevat cu ti pjesmu
zemljo moja
Ova ce ti pjesma reci sve

Rodila sam tebi sina
isto k'o što od davnina
radale su majke za tebe

Reci cu mu jednom kad poraste
To je tvoja zemlja i tvoj dom
Modro more,maslinici
zlatno klasje u ravnici
bi' ce uvijek tu u oku tvom

Dajem ti srce ,zemljo moja
i bi' cu s tobom
u dobru i u zlu
i nema sile da mi te uzme
Ja bi' cu s tobom ,ostat cu tu

Dajem ti život,zemljo moja
i bi' cu s tobom
u dobru i u zlu
Podijelit s tobom srecu i tugu
Bog neka cuva moju HRVATSKU

Usne moje krunicu dok mole
naši stari odlaze na put
Dok sa crkve zvona zvone
igraju se djeca nova
što za nama ostati ce tu...

Dajem ti srce . . .",Dajem ti srce,https://cuspajz.com//tekstovi-pjesama/pjesma/doris-dragovic/dajem-ti-srce.html,Doris Dragović,Dajem Ti Srce,,Zlatan Stipišić Gibonni,Dajem Ti Srce,,Zrinko Tutić,,nan-Dajem Ti Srce/nan-Rođendan U Zagrebu/2007.0-The Platinum Collection/2016.0-Live Spaladium Arena/2019.0-Original Album Collection/2019.0-Original Album Collection
7,ADDMrKZd_1_7,Doris Dragović,Doris Dragović,"Dobra vecer, dobri ljudi",1312,"Da skupim hrabrost svu
da te opet mogu nazvat' 
svojom ljubavlju

Da ovu bol sto je tu
bacin u vitar
i nadjen utjehu
na tvon ramenu
 
Za svaku ric carobnu
koju nekad
ti si meni znao saptati

I u dobru i u zlu
sve dok disen
tvoja ostajen
tvoja zauvik

Ref.
Dobra vecer, dobri ljudi
sad cu s vama
dilit svoju bol

Moje srice vise nima
srca puten zapela
i kadenan napukla zauvik

Ref. 2x","https://tekstovi.net/2,518,60391.html",,"Dobra večer, dobri ljudi","Good Evening, Good People",,"Da skupim hrabrost svu
1
da te opet mogu nazvat'
svojom ljubavlju. Da ovu bol što je tu
bacin u vitar
i nađjen utjehu
na tvon ramenu. Za svaku rič čarobnu
koju nekad
ti si meni znao šaptati. I u dobru i u zlu
sve dok dišen
tvoja ostajen
tvoja zauvik. Ref.
Dobra večer, dobri ljudi
sad ću s vama
dilit svoju bol. Moje sriće više nima
srca puten zapela
i kadenan napukla zauvik","To collect all my courage
To be able to call you my love
Again. To throw into the wind
This pain here
And to find comfort
On your shoulder. For every magical word
You used to
Whisper to me. For the good and the bad
As long as I breathe
I remain yours
Yours forever. [Refrain]
Good evening, good people
I will know share
My pain with you. My happiness is gone
Hearts got stuck along the way
And the chain got broken forever",https://lyricstranslate.com/en/dobra-vecer-dobri-ljudi-good-evening-good-people.html,,,,Doris Dragović,Dobra Večer Dobri Ljudi,,,Koncert U Lisinskom,2014.0,,,2014.0-Koncert U Lisinskom
8,ADDMrKZd_1_8,Doris Dragović,Doris Dragović,Dodji,2344,"Dodji, dusa mi je prazna
sunca, niti mraza
vise ne cutim
jer ja nemam tebe
a ti nemas mene
moja stara ljubavi
 
Jer ja
nemam nade, niti zrno snage
da ti ljubav presutim
sunca, niti smijeha
vjere, niti grijeha
moja stara ljubavi

A sada nosi, nosi sve
nije mi stalo ni do ceg
za mojim stolom nisi ti
i to je sve sto postoji

Al' neka srce tvoje zna
nije mi kljuc u vratima  
tvoja ih ljubav otvara","https://tekstovi.net/2,518,60078.html",Kovačević M.slobodan,Dođi,Come,Tigrica,"Dođi,
1
Duša mi je prazna
Sunca, niti mraza
Više ne ćutim
Jer ja nemam tebe,
A ti nemaš mene,
Moja stara ljubavi. Jer ja,
Nemam nade,
Niti zrno snage
Da ti ljubav prešutim
Sunca, niti smijeha,
Vjere, niti grijeha
Moja stara ljubavi. A sada nosi, nosi sve
Nije mi stalo ni do čeg
Za mojim stolom nisi ti
I to je sve što postoji
Al neka srce tvoje zna,
Nije mi ključ u vratima,
Tvoja ih ljubav otvara","Come
My soul is empty
There is no sun, nor frost
I am not silent anymore
Because I don't have you
And you don't have me
My old love. Because I,
don't have hope
Nor do I have strength
To remain silent about my love
No sun, nor laughter
No fait, no sin
My old love. And now take away from me, take everything
I don't care about anything
You don't sit at my table
And that is all there is
But I want to let your heart know
My doors have no key
They can only be opened by your love",https://lyricstranslate.com/en/dodi-come.html,,,,,,,,,,,,
9,ADDMrKZd_1_9,Doris Dragović,Doris Dragović,Dug,13913,"Budi biljka, budi stvar
budi umoran i star
budi divlji, budi los
sta cu kad te volim jos
i gledam ti kroz prste ja
iz dana u dan
ta se greska ponavlja 
 

Reci psovku, reci laz
reci necu, daj sto das
pravi greske, propuste
radi protiv mene sve
jer nakon noci sa tobom
uzet ces mi moc 
da ja vladam sa sobom

Ref.
Da ti vjerujem na rijec
mogu samo kad me vec
razum ostavi nakon noci ljubavi
da ti vjerujem na dug
mogu jos i ovaj put
s tobom sve je uzalud","https://tekstovi.net/2,518,9464.html",,Dug,Debt,Lice,"Budi biljka, budi stvar
budi umoran i star
budi divlji, budi loš
šta ću kad te volim još
i gledam ti kroz prste ja
iz dana u dan
ta se greška ponavlja. Reci psovku, reci laž
reci neću, daj što daš
pravi greške, propuste
radi protiv mene sve
jer nakon noći sa tobom
uzet ćeš mi moć
da ja vladam sa sobom. [Refren]
Da ti vjerujem na riječ
mogu samo kad me već
razum ostavi nakon noći ljubavi
da ti vjerujem na dug
mogu još i ovaj put
s tobom sve je uzalud","Be a plant, be a thing
Be tired and old
Be wild, be bad
What can I do about it, since I still love you
And I give you a pass
Day after day
That mistake is repeated. Say a swear, say a lie
Say you won't, give what you will
Make mistakes, misses
Do everything against me
Because after a night with you
You'll take away my power
To control myself. [Chorus]
I can believe your words
Only after my reason
Leaves me after a night of love
I can believe you, putting you in my debt
Just this one more time
With you everything's in vain",https://lyricstranslate.com/en/dug-debt.html,"Budi biljka budi stvar
budi umoran i star
mmm...
budi divlji budi los
sto cu kad te volim jos
i gledam ti kroz prste ja
iz dana u dan
e ta se greska ponavlja
reci psovku reci laz
reci necu daj sto das
mmm...
pravi greske propuste
radi protiv mene sve
al' nakon noci sa tobom
uzeces mi moc
da ja vladam sa sobom

Da ti vjerujem na rijec
mogu samo kad me vec
razum ostavi
nakon noci ljubavi
da ti vjerujem na d u g
mogu jos i ovaj put
uuuuuuu...
s' tobom sve je uzalud
da ti vjerujem na rijec
mogu samo kad me vec
razum ostavi
nakon noci ljubavi
da ti vjerujem na d u g
mogu jos i ovaj put
uuuuuuuu...
s' tobom sve je uzalud
uzalud...
uuuuuuu...",Dug,https://cuspajz.com//tekstovi-pjesama/pjesma/doris-dragovic/dug.html,Doris Dragović,Dug,4:04,,Lice,,,,nan-Lice
